Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,352,Iceland,ISL,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,2531685,,,,1596193,,373303,,,2
H5,2017,2017,2017,6,1,1,Import,352,Iceland,ISL,381,Italy,ITA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,25269,,,,193,,3726,,,2
H5,2017,2017,2017,6,1,1,Import,352,Iceland,ISL,752,Sweden,SWE,,,,,,,,280440,Oxygen,12,Volume in cubic meters,2506415,,,,1596000,,369577,,,2
H5,2017,2017,2017,6,1,1,Import,352,Iceland,ISL,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2329,,,,2329,,1323320,,,6
H5,2017,2017,2017,6,1,1,Import,352,Iceland,ISL,208,Denmark,DNK,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1318,,,,1318,,994691,,,0
H5,2017,2017,2017,6,1,1,Import,352,Iceland,ISL,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,491,,,,491,,10515,,,0
H5,2017,2017,2017,6,1,1,Import,352,Iceland,ISL,276,Germany,DEU,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,495,,,,495,,306681,,,0
H5,2017,2017,2017,6,1,1,Import,352,Iceland,ISL,752,Sweden,SWE,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,18,,,,18,,5588,,,6
H5,2017,2017,2017,6,1,1,Import,352,Iceland,ISL,757,Switzerland,CHE,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,6,,,,6,,5581,,,0
H5,2017,2017,2017,6,1,1,Import,352,Iceland,ISL,826,United Kingdom,GBR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1,,,,1,,261,,,0
H5,2017,2017,2017,6,1,1,Import,352,Iceland,ISL,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,182192,,,,182192,,1167874,,,0
H5,2017,2017,2017,6,1,2,Export,352,Iceland,ISL,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,1524,,,,1524,,42312,,,0
H5,2017,2017,2017,6,1,1,Import,352,Iceland,ISL,40,Austria,AUT,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,436,,,,436,,9030,,,0
H5,2017,2017,2017,6,1,1,Import,352,Iceland,ISL,56,Belgium,BEL,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,7414,,,,7414,,29903,,,0
H5,2017,2017,2017,6,1,1,Import,352,Iceland,ISL,156,China,CHN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,500,,,,500,,70,,,0
H5,2017,2017,2017,6,1,1,Import,352,Iceland,ISL,203,Czechia,CZE,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,560,,,,560,,1360,,,0
H5,2017,2017,2017,6,1,1,Import,352,Iceland,ISL,208,Denmark,DNK,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,76486,,,,76486,,266994,,,0
H5,2017,2017,2017,6,1,1,Import,352,Iceland,ISL,246,Finland,FIN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,78,,,,78,,1195,,,0
H5,2017,2017,2017,6,1,1,Import,352,Iceland,ISL,251,France,FRA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,2184,,,,2184,,33766,,,0
H5,2017,2017,2017,6,1,1,Import,352,Iceland,ISL,276,Germany,DEU,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,9245,,,,9245,,62806,,,0
H5,2017,2017,2017,6,1,1,Import,352,Iceland,ISL,348,Hungary,HUN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,17,,,,17,,467,,,0
H5,2017,2017,2017,6,1,1,Import,352,Iceland,ISL,372,Ireland,IRL,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,560,,,,560,,1367,,,0
H5,2017,2017,2017,6,1,1,Import,352,Iceland,ISL,381,Italy,ITA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,207,,,,207,,5858,,,0
H5,2017,2017,2017,6,1,1,Import,352,Iceland,ISL,528,Netherlands,NLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,5425,,,,5425,,44314,,,0
H5,2017,2017,2017,6,1,1,Import,352,Iceland,ISL,579,Norway,NOR,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,16,,,,16,,111,,,0
H5,2017,2017,2017,6,1,2,Export,352,Iceland,ISL,579,Norway,NOR,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,1204,,,,1204,,36233,,,0
