Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,360,Indonesia,IDN,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,3886310,,1031559,,,2
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,36776,,14719,,,2
H5,2017,2017,2017,6,1,1,Import,360,Indonesia,IDN,36,Australia,AUS,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,18,,91,,,2
H5,2017,2017,2017,6,1,1,Import,360,Indonesia,IDN,96,Brunei Darussalam,BRN,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,261,,2925,,,2
H5,2017,2017,2017,6,1,1,Import,360,Indonesia,IDN,156,China,CHN,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,2859,,8145,,,2
H5,2017,2017,2017,6,1,1,Import,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,144,,20417,,,2
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,598,Papua New Guinea,PNG,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,6776,,11892,,,2
H5,2017,2017,2017,6,1,1,Import,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,3882914,,983085,,,2
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,30000,,2826,,,2
H5,2017,2017,2017,6,1,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,114,,16896,,,2
H5,2017,2017,2017,6,1,1,Import,360,Indonesia,IDN,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,386717,,,,386717,,108003644,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,317415,,,,317415,,92559654,,,6
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,4,Afghanistan,AFG,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,23036,,,,23036,,4895280,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,8,Albania,ALB,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,107,,,,107,,15750,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,32,Argentina,ARG,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,7,,,,7,,25730,,,0
H5,2017,2017,2017,6,1,1,Import,360,Indonesia,IDN,36,Australia,AUS,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,17,,,,17,,157,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,36,Australia,AUS,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2,,,,2,,719,,,0
H5,2017,2017,2017,6,1,1,Import,360,Indonesia,IDN,40,Austria,AUT,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,354,,,,354,,260293,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,44,Bahamas,BHS,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,7,,,,7,,1071,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,50,Bangladesh,BGD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,546,,,,546,,89760,,,0
H5,2017,2017,2017,6,1,1,Import,360,Indonesia,IDN,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,23450,,,,23450,,10171206,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,106,,,,106,,11555,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,64,Bhutan,BTN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,150,,,,150,,12937,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,76,Brazil,BRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2960,,,,2960,,420000,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,92,Br. Virgin Isds,VGB,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,0,,,,0,,126,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,104,Myanmar,MMR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,44,,,,44,,7568,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,108,Burundi,BDI,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,483,,,,483,,73507,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,116,Cambodia,KHM,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1057,,,,1057,,85700,,,0
H5,2017,2017,2017,6,1,1,Import,360,Indonesia,IDN,124,Canada,CAN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1553,,,,1553,,600000,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,140,Central African Rep.,CAF,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,564,,,,564,,47565,,,0
H5,2017,2017,2017,6,1,1,Import,360,Indonesia,IDN,156,China,CHN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,86894,,,,86894,,11762627,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,6972,,,,6972,,644602,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,204,Benin,BEN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1775,,,,1775,,176237,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,222,El Salvador,SLV,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,242,,,,242,,34440,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,231,Ethiopia,ETH,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,3263,,,,3263,,242000,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,232,Eritrea,ERI,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,367,,,,367,,49420,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,242,Fiji,FJI,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1430,,,,1430,,141147,,,0
H5,2017,2017,2017,6,1,1,Import,360,Indonesia,IDN,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,26194,,,,26194,,12417048,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2324,,,,2324,,99280,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,262,Djibouti,DJI,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,120,,,,120,,10665,,,0
H5,2017,2017,2017,6,1,1,Import,360,Indonesia,IDN,276,Germany,DEU,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,4,,,,4,,1204,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,288,Ghana,GHA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2,,,,2,,20,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,320,Guatemala,GTM,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1236,,,,1236,,173796,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,324,Guinea,GIN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1859,,,,1859,,154621,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,328,Guyana,GUY,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,77,,,,77,,11004,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,332,Haiti,HTI,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,3318,,,,3318,,481845,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,340,Honduras,HND,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,618,,,,618,,87459,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,344,"China, Hong Kong SAR",HKG,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,451,,,,451,,48760,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,364,Iran,IRN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,7,,,,7,,46,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,368,Iraq,IRQ,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,6,,,,6,,30,,,0
H5,2017,2017,2017,6,1,1,Import,360,Indonesia,IDN,372,Ireland,IRL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,6881,,,,6881,,7312910,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,376,Israel,ISR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,214,,,,214,,32625,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,384,Côte d'Ivoire,CIV,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,3315,,,,3315,,400000,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,388,Jamaica,JAM,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,27,,,,27,,3843,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1,,,,1,,120,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,404,Kenya,KEN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1353,,,,1353,,102363,,,0
H5,2017,2017,2017,6,1,1,Import,360,Indonesia,IDN,410,Rep. of Korea,KOR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,5260,,,,5260,,13204243,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,410,Rep. of Korea,KOR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,13,,,,13,,11407,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,417,Kyrgyzstan,KGZ,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,224,,,,224,,33750,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,418,Lao People's Dem. Rep.,LAO,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1417,,,,1417,,148125,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,422,Lebanon,LBN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,3135,,,,3135,,721562,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,430,Liberia,LBR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2364,,,,2364,,198961,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,450,Madagascar,MDG,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2526,,,,2526,,268209,,,0
