Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,364,Iran,IRN,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,8765,,57358,,,2
H5,2017,2017,2017,6,1,2,Export,364,Iran,IRN,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,3014225,,321171,,,2
H5,2017,2017,2017,6,1,2,Export,364,Iran,IRN,4,Afghanistan,AFG,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,220,,2436,,,2
H5,2017,2017,2017,6,1,2,Export,364,Iran,IRN,31,Azerbaijan,AZE,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,75,,320,,,2
H5,2017,2017,2017,6,1,1,Import,364,Iran,IRN,40,Austria,AUT,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,7584,,50575,,,2
H5,2017,2017,2017,6,1,2,Export,364,Iran,IRN,368,Iraq,IRQ,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,3013930,,318415,,,2
H5,2017,2017,2017,6,1,1,Import,364,Iran,IRN,784,United Arab Emirates,ARE,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,970,,5852,,,2
H5,2017,2017,2017,6,1,1,Import,364,Iran,IRN,792,Turkey,TUR,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,211,,931,,,2
H5,2017,2017,2017,6,1,1,Import,364,Iran,IRN,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,89400,,,,89400,,34729134,,,0
H5,2017,2017,2017,6,1,1,Import,364,Iran,IRN,156,China,CHN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,380,,,,380,,25800,,,0
H5,2017,2017,2017,6,1,1,Import,364,Iran,IRN,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,35633,,,,35633,,11992827,,,0
H5,2017,2017,2017,6,1,1,Import,364,Iran,IRN,360,Indonesia,IDN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,7,,,,7,,49,,,0
H5,2017,2017,2017,6,1,1,Import,364,Iran,IRN,381,Italy,ITA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,8353,,,,8353,,2358896,,,0
H5,2017,2017,2017,6,1,1,Import,364,Iran,IRN,410,Rep. of Korea,KOR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2000,,,,2000,,352554,,,0
H5,2017,2017,2017,6,1,1,Import,364,Iran,IRN,528,Netherlands,NLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,540,,,,540,,5632213,,,0
H5,2017,2017,2017,6,1,1,Import,364,Iran,IRN,643,Russian Federation,RUS,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,17774,,,,17774,,3324475,,,0
H5,2017,2017,2017,6,1,1,Import,364,Iran,IRN,699,India,IND,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,18095,,,,18095,,9003970,,,0
H5,2017,2017,2017,6,1,1,Import,364,Iran,IRN,724,Spain,ESP,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2200,,,,2200,,120367,,,0
H5,2017,2017,2017,6,1,1,Import,364,Iran,IRN,784,United Arab Emirates,ARE,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,3876,,,,3876,,1426960,,,0
H5,2017,2017,2017,6,1,1,Import,364,Iran,IRN,792,Turkey,TUR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,541,,,,541,,489635,,,0
H5,2017,2017,2017,6,1,1,Import,364,Iran,IRN,826,United Kingdom,GBR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1,,,,1,,1388,,,0
H5,2017,2017,2017,6,1,1,Import,364,Iran,IRN,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,2888863,,,,2888863,,14058003,,,0
H5,2017,2017,2017,6,1,2,Export,364,Iran,IRN,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,38319,,,,38319,,94211,,,0
H5,2017,2017,2017,6,1,2,Export,364,Iran,IRN,4,Afghanistan,AFG,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,34411,,,,34411,,83344,,,0
H5,2017,2017,2017,6,1,2,Export,364,Iran,IRN,31,Azerbaijan,AZE,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,2290,,,,2290,,2240,,,0
