Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2014,2014,2014,6,1,1,Import,368,Iraq,IRQ,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1615373,,,,1017069,,426276,,,2
H2,2014,2014,2014,6,1,1,Import,368,Iraq,IRQ,156,China,CHN,,,,,,,,280440,Oxygen,12,Volume in cubic meters,198782,,,,31000,,52456,,,2
H2,2014,2014,2014,6,1,1,Import,368,Iraq,IRQ,414,Kuwait,KWT,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1109565,,,,976000,,292800,,,2
H2,2014,2014,2014,6,1,1,Import,368,Iraq,IRQ,699,India,IND,,,,,,,,280440,Oxygen,12,Volume in cubic meters,246317,,,,10000,,65000,,,2
H2,2014,2014,2014,6,1,1,Import,368,Iraq,IRQ,842,USA,USA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,60708,,,,69,,16020,,,2
H2,2014,2014,2014,6,1,1,Import,368,Iraq,IRQ,0,World,WLD,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,80915,,,,80915,,17999236,,,0
H2,2014,2014,2014,6,1,1,Import,368,Iraq,IRQ,56,Belgium,BEL,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,1371,,,,1371,,270000,,,0
H2,2014,2014,2014,6,1,1,Import,368,Iraq,IRQ,251,France,FRA,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,23060,,,,23060,,3632500,,,0
H2,2014,2014,2014,6,1,1,Import,368,Iraq,IRQ,276,Germany,DEU,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,1149,,,,1149,,266832,,,0
H2,2014,2014,2014,6,1,1,Import,368,Iraq,IRQ,400,Jordan,JOR,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,5743,,,,5743,,428400,,,0
