Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,6,1,1,Import,388,Jamaica,JAM,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,2214227,,,,1617770,,347625,,,2
H5,2018,2018,2018,6,1,2,Export,388,Jamaica,JAM,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,62615,,,,123,,11206,,,2
H5,2018,2018,2018,6,1,1,Import,388,Jamaica,JAM,780,Trinidad and Tobago,TTO,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1456280,,,,975246,,228630,,,2
H5,2018,2018,2018,6,1,1,Import,388,Jamaica,JAM,842,USA,USA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,757947,,,,642524,,118994,,,2
H5,2018,2018,2018,6,1,2,Export,388,Jamaica,JAM,842,USA,USA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,62615,,,,123,,11206,,,2
H5,2018,2018,2018,6,1,1,Import,388,Jamaica,JAM,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,9200,,,,9200,,1334801,,,0
H5,2018,2018,2018,6,1,2,Export,388,Jamaica,JAM,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,26,,,,26,,1932,,,0
H5,2018,2018,2018,6,1,2,Export,388,Jamaica,JAM,52,Barbados,BRB,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,3,,,,3,,596,,,0
H5,2018,2018,2018,6,1,1,Import,388,Jamaica,JAM,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,180,,,,180,,95793,,,0
H5,2018,2018,2018,6,1,1,Import,388,Jamaica,JAM,60,Bermuda,BMU,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,401,,,,401,,82826,,,0
H5,2018,2018,2018,6,1,1,Import,388,Jamaica,JAM,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,249,,,,249,,39500,,,0
H5,2018,2018,2018,6,1,1,Import,388,Jamaica,JAM,410,Rep. of Korea,KOR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1187,,,,1187,,125517,,,0
H5,2018,2018,2018,6,1,1,Import,388,Jamaica,JAM,484,Mexico,MEX,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,891,,,,891,,34188,,,0
H5,2018,2018,2018,6,1,1,Import,388,Jamaica,JAM,528,Netherlands,NLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,651,,,,651,,94157,,,0
H5,2018,2018,2018,6,1,1,Import,388,Jamaica,JAM,591,Panama,PAN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1185,,,,1185,,246827,,,0
H5,2018,2018,2018,6,1,1,Import,388,Jamaica,JAM,699,India,IND,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,889,,,,889,,97828,,,0
H5,2018,2018,2018,6,1,2,Export,388,Jamaica,JAM,796,Turks and Caicos Isds,TCA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,23,,,,23,,1335,,,0
H5,2018,2018,2018,6,1,1,Import,388,Jamaica,JAM,826,United Kingdom,GBR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,56,,,,56,,173,,,0
H5,2018,2018,2018,6,1,1,Import,388,Jamaica,JAM,842,USA,USA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,3507,,,,3507,,517987,,,0
H5,2018,2018,2018,6,1,1,Import,388,Jamaica,JAM,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,1399086,,,,1399086,,4062532,,,0
H5,2018,2018,2018,6,1,2,Export,388,Jamaica,JAM,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,186,,,,186,,2586,,,0
H5,2018,2018,2018,6,1,1,Import,388,Jamaica,JAM,52,Barbados,BRB,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,5162,,,,5162,,27591,,,0
H5,2018,2018,2018,6,1,1,Import,388,Jamaica,JAM,56,Belgium,BEL,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,9118,,,,9118,,5470,,,0
H5,2018,2018,2018,6,1,1,Import,388,Jamaica,JAM,76,Brazil,BRA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,2116,,,,2116,,993,,,0
H5,2018,2018,2018,6,1,1,Import,388,Jamaica,JAM,124,Canada,CAN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,7550,,,,7550,,44264,,,0
H5,2018,2018,2018,6,1,2,Export,388,Jamaica,JAM,136,Cayman Isds,CYM,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,152,,,,152,,2460,,,0
H5,2018,2018,2018,6,1,1,Import,388,Jamaica,JAM,156,China,CHN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,10972,,,,10972,,16099,,,0
H5,2018,2018,2018,6,1,1,Import,388,Jamaica,JAM,170,Colombia,COL,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,139,,,,139,,43,,,0
H5,2018,2018,2018,6,1,1,Import,388,Jamaica,JAM,214,Dominican Rep.,DOM,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,0,,,,0,,0,,,0
H5,2018,2018,2018,6,1,1,Import,388,Jamaica,JAM,276,Germany,DEU,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,8500,,,,8500,,7796,,,0
H5,2018,2018,2018,6,1,2,Export,388,Jamaica,JAM,308,Grenada,GRD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,2,,,,2,,55,,,0
