Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,400,Jordan,JOR,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,58911199,,,,31704566,,8686599,,,2
H5,2017,2017,2017,6,1,1,Import,400,Jordan,JOR,414,Kuwait,KWT,,,,,,,,280440,Oxygen,12,Volume in cubic meters,37397060,,,,20553130,,5514287,,,2
H5,2017,2017,2017,6,1,1,Import,400,Jordan,JOR,682,Saudi Arabia,SAU,,,,,,,,280440,Oxygen,12,Volume in cubic meters,21441697,,,,11129800,,3161630,,,2
H5,2017,2017,2017,6,1,1,Import,400,Jordan,JOR,826,United Kingdom,GBR,,,,,,,,280440,Oxygen,12,Volume in cubic meters,31129,,,,136,,4590,,,2
H5,2017,2017,2017,6,1,1,Import,400,Jordan,JOR,842,USA,USA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,41311,,,,21500,,6091,,,2
H5,2017,2017,2017,6,1,1,Import,400,Jordan,JOR,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,60114,,,,60114,,31880874,,,0
H5,2017,2017,2017,6,1,2,Export,400,Jordan,JOR,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1151,,,,1151,,428873,,,0
H5,2017,2017,2017,6,1,3,Re-Export,400,Jordan,JOR,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1151,,,,1151,,428873,,,0
H5,2017,2017,2017,6,1,1,Import,400,Jordan,JOR,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,7274,,,,7274,,5016988,,,0
H5,2017,2017,2017,6,1,1,Import,400,Jordan,JOR,124,Canada,CAN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,50,,,,50,,11315,,,0
H5,2017,2017,2017,6,1,1,Import,400,Jordan,JOR,208,Denmark,DNK,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,150,,,,150,,1281865,,,0
H5,2017,2017,2017,6,1,1,Import,400,Jordan,JOR,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,20992,,,,20992,,17563181,,,0
