Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,271675,,,6
H5,2017,2017,2017,6,1,2,Export,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,13101,,1603,,,2
H5,2017,2017,2017,6,1,1,Import,398,Kazakhstan,KAZ,208,Denmark,DNK,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,3,,110,,,2
H5,2017,2017,2017,6,1,1,Import,398,Kazakhstan,KAZ,276,Germany,DEU,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,714,,18060,,,2
H5,2017,2017,2017,6,1,1,Import,398,Kazakhstan,KAZ,381,Italy,ITA,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,229,,,6
H5,2017,2017,2017,6,1,2,Export,398,Kazakhstan,KAZ,417,Kyrgyzstan,KGZ,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,13100,,1577,,,2
H5,2017,2017,2017,6,1,1,Import,398,Kazakhstan,KAZ,440,Lithuania,LTU,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,229,,,6
H5,2017,2017,2017,6,1,1,Import,398,Kazakhstan,KAZ,528,Netherlands,NLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,7,,803,,,2
H5,2017,2017,2017,6,1,1,Import,398,Kazakhstan,KAZ,643,Russian Federation,RUS,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,987398,,195407,,,2
H5,2017,2017,2017,6,1,2,Export,398,Kazakhstan,KAZ,792,Turkey,TUR,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,1,,26,,,2
