Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,6,1,1,Import,404,Kenya,KEN,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,1094195,,168073,,,4
H5,2019,2019,2019,6,1,2,Export,404,Kenya,KEN,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,19677,,,,435357,,75358,,,6
H5,2019,2019,2019,6,1,1,Import,404,Kenya,KEN,56,Belgium,BEL,,,,,,,,280440,Oxygen,8,Weight in kilograms,19000,,,,19000,,3058,,,0
H5,2019,2019,2019,6,1,1,Import,404,Kenya,KEN,702,Singapore,SGP,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,469830,,66775,,,4
H5,2019,2019,2019,6,1,1,Import,404,Kenya,KEN,706,Somalia,SOM,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1383,,,,86861,,11622,,,4
H5,2019,2019,2019,6,1,2,Export,404,Kenya,KEN,706,Somalia,SOM,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1820,,,,7045,,1427,,,6
H5,2019,2019,2019,6,1,1,Import,404,Kenya,KEN,784,United Arab Emirates,ARE,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,238027,,49087,,,4
H5,2019,2019,2019,6,1,2,Export,404,Kenya,KEN,800,Uganda,UGA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,10792,,,,86951,,18079,,,6
H5,2019,2019,2019,6,1,2,Export,404,Kenya,KEN,834,United Rep. of Tanzania,TZA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,7064,,,,341359,,55850,,,6
H5,2019,2019,2019,6,1,1,Import,404,Kenya,KEN,894,Zambia,ZMB,,,,,,,,280440,Oxygen,12,Volume in cubic meters,18130,,,,280476,,37529,,,4
H5,2019,2019,2019,6,1,1,Import,404,Kenya,KEN,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,142571,,,,142571,,48518622,,,0
H5,2019,2019,2019,6,1,2,Export,404,Kenya,KEN,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,51595,,,,51595,,4102668,,,6
H5,2019,2019,2019,6,1,1,Import,404,Kenya,KEN,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,37813,,,,37813,,20854975,,,0
H5,2019,2019,2019,6,1,2,Export,404,Kenya,KEN,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,363,,,,363,,86757,,,0
H5,2019,2019,2019,6,1,2,Export,404,Kenya,KEN,108,Burundi,BDI,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,157,,,,157,,2581,,,0
H5,2019,2019,2019,6,1,2,Export,404,Kenya,KEN,140,Central African Rep.,CAF,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,246,,,,246,,153077,,,0
H5,2019,2019,2019,6,1,1,Import,404,Kenya,KEN,156,China,CHN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,5645,,,,5645,,331398,,,0
H5,2019,2019,2019,6,1,2,Export,404,Kenya,KEN,180,Dem. Rep. of the Congo,COD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,481,,,,481,,10775,,,0
H5,2019,2019,2019,6,1,1,Import,404,Kenya,KEN,208,Denmark,DNK,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,24957,,,,24957,,7516802,,,0
H5,2019,2019,2019,6,1,2,Export,404,Kenya,KEN,231,Ethiopia,ETH,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,24,,,,24,,2278,,,0
H5,2019,2019,2019,6,1,1,Import,404,Kenya,KEN,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,16924,,,,16924,,6526288,,,0
H5,2019,2019,2019,6,1,2,Export,404,Kenya,KEN,262,Djibouti,DJI,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,104,,,,104,,423,,,6
H5,2019,2019,2019,6,1,1,Import,404,Kenya,KEN,276,Germany,DEU,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,4057,,,,4057,,636275,,,0
H5,2019,2019,2019,6,1,2,Export,404,Kenya,KEN,368,Iraq,IRQ,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,11,,,,11,,2424,,,0
H5,2019,2019,2019,6,1,1,Import,404,Kenya,KEN,372,Ireland,IRL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,802,,,,802,,310069,,,0
