Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2014,2014,2014,6,1,1,Import,296,Kiribati,KIR,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,6610,,34739,,,2
H4,2014,2014,2014,6,1,1,Import,296,Kiribati,KIR,242,Fiji,FJI,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,6580,,34534,,,2
H4,2014,2014,2014,6,1,1,Import,296,Kiribati,KIR,554,New Zealand,NZL,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,30,,204,,,2
H4,2014,2014,2014,6,1,2,Export,296,Kiribati,KIR,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,26,,,,26,,270,,,0
H4,2014,2014,2014,6,1,2,Export,296,Kiribati,KIR,410,Rep. of Korea,KOR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,26,,,,26,,270,,,0
H4,2014,2014,2014,6,1,1,Import,296,Kiribati,KIR,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,12835,,,,12835,,84894,,,6
H4,2014,2014,2014,6,1,1,Import,296,Kiribati,KIR,36,Australia,AUS,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,8790,,,,8790,,70533,,,0
H4,2014,2014,2014,6,1,1,Import,296,Kiribati,KIR,242,Fiji,FJI,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,1600,,,,1600,,3943,,,0
H4,2014,2014,2014,6,1,1,Import,296,Kiribati,KIR,344,"China, Hong Kong SAR",HKG,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,5,,,,5,,36,,,6
H4,2014,2014,2014,6,1,1,Import,296,Kiribati,KIR,360,Indonesia,IDN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,1435,,,,1435,,2105,,,0
