Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,414,Kuwait,KWT,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1784492,,,,,,272916,,,4
H5,2017,2017,2017,6,1,2,Export,414,Kuwait,KWT,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,15548,,,,6741840,,343204,,,0
H5,2017,2017,2017,6,1,2,Export,414,Kuwait,KWT,48,Bahrain,BHR,,,,,,,,280440,Oxygen,12,Volume in cubic meters,34,,,,3188,,731,,,0
H5,2017,2017,2017,6,1,1,Import,414,Kuwait,KWT,276,Germany,DEU,,,,,,,,280440,Oxygen,12,Volume in cubic meters,54,,,,234854,,32518,,,4
H5,2017,2017,2017,6,1,1,Import,414,Kuwait,KWT,344,"China, Hong Kong SAR",HKG,,,,,,,,280440,Oxygen,12,Volume in cubic meters,4,,,,,,1648,,,4
H5,2017,2017,2017,6,1,2,Export,414,Kuwait,KWT,368,Iraq,IRQ,,,,,,,,280440,Oxygen,12,Volume in cubic meters,15029,,,,2191380,,126185,,,0
H5,2017,2017,2017,6,1,2,Export,414,Kuwait,KWT,400,Jordan,JOR,,,,,,,,280440,Oxygen,12,Volume in cubic meters,239,,,,4512377,,208324,,,0
H5,2017,2017,2017,6,1,2,Export,414,Kuwait,KWT,634,Qatar,QAT,,,,,,,,280440,Oxygen,12,Volume in cubic meters,246,,,,34895,,7962,,,0
H5,2017,2017,2017,6,1,1,Import,414,Kuwait,KWT,682,Saudi Arabia,SAU,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1775899,,,,1775499,,216564,,,0
H5,2017,2017,2017,6,1,1,Import,414,Kuwait,KWT,757,Switzerland,CHE,,,,,,,,280440,Oxygen,12,Volume in cubic meters,8,,,,,,12037,,,4
H5,2017,2017,2017,6,1,1,Import,414,Kuwait,KWT,784,United Arab Emirates,ARE,,,,,,,,280440,Oxygen,12,Volume in cubic meters,8527,,,,8527,,10148,,,0
H5,2017,2017,2017,6,1,1,Import,414,Kuwait,KWT,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,34041,,,,34041,,21039800,,,6
H5,2017,2017,2017,6,1,2,Export,414,Kuwait,KWT,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,67160,,,,67160,,837605,,,0
H5,2017,2017,2017,6,1,3,Re-Export,414,Kuwait,KWT,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,67137,,,,67137,,837476,,,0
H5,2017,2017,2017,6,1,1,Import,414,Kuwait,KWT,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1902,,,,1902,,2689690,,,0
H5,2017,2017,2017,6,1,1,Import,414,Kuwait,KWT,100,Bulgaria,BGR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,100,,,,100,,121204,,,0
H5,2017,2017,2017,6,1,1,Import,414,Kuwait,KWT,124,Canada,CAN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,15,,,,15,,22169,,,0
H5,2017,2017,2017,6,1,1,Import,414,Kuwait,KWT,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,6888,,,,6888,,1972745,,,0
H5,2017,2017,2017,6,1,2,Export,414,Kuwait,KWT,368,Iraq,IRQ,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,67120,,,,67120,,836167,,,0
H5,2017,2017,2017,6,1,3,Re-Export,414,Kuwait,KWT,368,Iraq,IRQ,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,67120,,,,67120,,836167,,,0
H5,2017,2017,2017,6,1,1,Import,414,Kuwait,KWT,372,Ireland,IRL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,11459,,,,11459,,9711569,,,0
H5,2017,2017,2017,6,1,1,Import,414,Kuwait,KWT,381,Italy,ITA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1207,,,,1207,,1003570,,,0
H5,2017,2017,2017,6,1,1,Import,414,Kuwait,KWT,392,Japan,JPN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,34,,,,34,,18802,,,0
H5,2017,2017,2017,6,1,1,Import,414,Kuwait,KWT,400,Jordan,JOR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,3484,,,,3484,,157089,,,0
H5,2017,2017,2017,6,1,2,Export,414,Kuwait,KWT,512,Oman,OMN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,17,,,,17,,1308,,,0
H5,2017,2017,2017,6,1,3,Re-Export,414,Kuwait,KWT,512,Oman,OMN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,17,,,,17,,1308,,,0
H5,2017,2017,2017,6,1,1,Import,414,Kuwait,KWT,528,Netherlands,NLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,212,,,,212,,272560,,,0
H5,2017,2017,2017,6,1,1,Import,414,Kuwait,KWT,616,Poland,POL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,24,,,,24,,14651,,,0
H5,2017,2017,2017,6,1,1,Import,414,Kuwait,KWT,682,Saudi Arabia,SAU,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2721,,,,2721,,1347873,,,0
H5,2017,2017,2017,6,1,1,Import,414,Kuwait,KWT,757,Switzerland,CHE,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1719,,,,1719,,1063028,,,6
H5,2017,2017,2017,6,1,2,Export,414,Kuwait,KWT,760,Syria,SYR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,23,,,,23,,128,,,0
H5,2017,2017,2017,6,1,1,Import,414,Kuwait,KWT,784,United Arab Emirates,ARE,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,14,,,,14,,7945,,,0
H5,2017,2017,2017,6,1,1,Import,414,Kuwait,KWT,818,Egypt,EGY,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,217,,,,217,,38809,,,0
H5,2017,2017,2017,6,1,1,Import,414,Kuwait,KWT,826,United Kingdom,GBR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,78,,,,78,,626214,,,0
H5,2017,2017,2017,6,1,1,Import,414,Kuwait,KWT,842,USA,USA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,3964,,,,3964,,1971875,,,0
H5,2017,2017,2017,6,1,1,Import,414,Kuwait,KWT,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,2228156,,,,2228156,,10008029,,,0
H5,2017,2017,2017,6,1,2,Export,414,Kuwait,KWT,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,580750,,,,580750,,813889,,,0
H5,2017,2017,2017,6,1,3,Re-Export,414,Kuwait,KWT,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,128015,,,,128015,,174051,,,0
H5,2017,2017,2017,6,1,1,Import,414,Kuwait,KWT,40,Austria,AUT,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,12439,,,,12439,,69039,,,0
