Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,2,Export,417,Kyrgyzstan,KGZ,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,6000,,900,,,2
H5,2017,2017,2017,6,1,2,Export,417,Kyrgyzstan,KGZ,762,Tajikistan,TJK,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,6000,,900,,,2
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,18710,,,,18710,,3531328,,,0
H5,2017,2017,2017,6,1,2,Export,417,Kyrgyzstan,KGZ,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,49,,,,49,,3545,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,444,,,,444,,95739,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,100,Bulgaria,BGR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1919,,,,1919,,130040,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,156,China,CHN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,96,,,,96,,27840,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,34,,,,34,,1039,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,360,Indonesia,IDN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,225,,,,225,,36762,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,392,Japan,JPN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,161,,,,161,,58535,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,528,Netherlands,NLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1,,,,1,,228,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,643,Russian Federation,RUS,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,794,,,,794,,100451,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,699,India,IND,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,6884,,,,6884,,1117452,,,0
H5,2017,2017,2017,6,1,2,Export,417,Kyrgyzstan,KGZ,757,Switzerland,CHE,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,49,,,,49,,3545,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,826,United Kingdom,GBR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1277,,,,1277,,111100,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,842,USA,USA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,6875,,,,6875,,1852142,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,73315,,,,73315,,259991,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,40,Austria,AUT,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,960,,,,960,,3953,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,100,Bulgaria,BGR,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,2100,,,,2100,,11886,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,112,Belarus,BLR,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,4590,,,,4590,,31036,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,156,China,CHN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,216,,,,216,,2105,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,203,Czechia,CZE,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,20,,,,20,,38,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,251,France,FRA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,16,,,,16,,423,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,276,Germany,DEU,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,7017,,,,7017,,44371,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,392,Japan,JPN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,203,,,,203,,2342,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,398,Kazakhstan,KAZ,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,10294,,,,10294,,32744,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,528,Netherlands,NLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,765,,,,765,,1641,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,643,Russian Federation,RUS,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,39185,,,,39185,,105825,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,792,Turkey,TUR,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,7944,,,,7944,,23104,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,826,United Kingdom,GBR,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,5,,,,5,,523,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,0,World,WLD,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,1363,,,,1363,,114388,,,0
H5,2017,2017,2017,6,1,2,Export,417,Kyrgyzstan,KGZ,0,World,WLD,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,3,,,,3,,522,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,56,Belgium,BEL,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,12,,,,12,,1001,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,251,France,FRA,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,61,,,,61,,3654,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,276,Germany,DEU,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,132,,,,132,,13836,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,381,Italy,ITA,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,5,,,,5,,231,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,398,Kazakhstan,KAZ,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,3,,,,3,,3102,,,0
H5,2017,2017,2017,6,1,2,Export,417,Kyrgyzstan,KGZ,428,Latvia,LVA,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,3,,,,3,,522,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,643,Russian Federation,RUS,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,707,,,,707,,51251,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,699,India,IND,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,147,,,,147,,10919,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,842,USA,USA,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,296,,,,296,,30394,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,0,World,WLD,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,67121,,,,67121,,3519374,,,6
H5,2017,2017,2017,6,1,2,Export,417,Kyrgyzstan,KGZ,0,World,WLD,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,2833,,,,2833,,56834,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,36,Australia,AUS,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,322,,,,322,,26491,,,0
