Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,428,Latvia,LVA,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,4546613,,,,6102367,,689055,,,0
H5,2017,2017,2017,6,1,2,Export,428,Latvia,LVA,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,5671557,,,,7668476,,1343496,,,0
H5,2017,2017,2017,6,1,1,Import,428,Latvia,LVA,40,Austria,AUT,,,,,,,,280440,Oxygen,12,Volume in cubic meters,322,,,,589,,2332,,,0
H5,2017,2017,2017,6,1,1,Import,428,Latvia,LVA,233,Estonia,EST,,,,,,,,280440,Oxygen,12,Volume in cubic meters,2154736,,,,2895487,,325939,,,0
H5,2017,2017,2017,6,1,2,Export,428,Latvia,LVA,233,Estonia,EST,,,,,,,,280440,Oxygen,12,Volume in cubic meters,2273983,,,,3064116,,571231,,,0
H5,2017,2017,2017,6,1,1,Import,428,Latvia,LVA,246,Finland,FIN,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1587201,,,,2158499,,178338,,,0
H5,2017,2017,2017,6,1,2,Export,428,Latvia,LVA,246,Finland,FIN,,,,,,,,280440,Oxygen,12,Volume in cubic meters,4306,,,,5755,,2771,,,0
H5,2017,2017,2017,6,1,1,Import,428,Latvia,LVA,276,Germany,DEU,,,,,,,,280440,Oxygen,12,Volume in cubic meters,81,,,,112,,1112,,,0
H5,2017,2017,2017,6,1,1,Import,428,Latvia,LVA,440,Lithuania,LTU,,,,,,,,280440,Oxygen,12,Volume in cubic meters,213700,,,,286159,,51666,,,0
H5,2017,2017,2017,6,1,2,Export,428,Latvia,LVA,440,Lithuania,LTU,,,,,,,,280440,Oxygen,12,Volume in cubic meters,3390508,,,,4595095,,768114,,,0
H5,2017,2017,2017,6,1,1,Import,428,Latvia,LVA,579,Norway,NOR,,,,,,,,280440,Oxygen,12,Volume in cubic meters,29955,,,,40740,,21830,,,0
H5,2017,2017,2017,6,1,1,Import,428,Latvia,LVA,616,Poland,POL,,,,,,,,280440,Oxygen,12,Volume in cubic meters,328176,,,,440460,,46829,,,0
H5,2017,2017,2017,6,1,1,Import,428,Latvia,LVA,643,Russian Federation,RUS,,,,,,,,280440,Oxygen,12,Volume in cubic meters,15441,,,,21000,,4042,,,0
H5,2017,2017,2017,6,1,1,Import,428,Latvia,LVA,752,Sweden,SWE,,,,,,,,280440,Oxygen,12,Volume in cubic meters,217001,,,,259321,,56963,,,0
H5,2017,2017,2017,6,1,2,Export,428,Latvia,LVA,837,Bunkers,,,,,,,,,280440,Oxygen,12,Volume in cubic meters,2760,,,,3510,,1379,,,0
