Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,422,Lebanon,LBN,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,2824950,,594318,,,2
H5,2017,2017,2017,6,1,1,Import,422,Lebanon,LBN,156,China,CHN,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,423,,1906,,,2
H5,2017,2017,2017,6,1,1,Import,422,Lebanon,LBN,784,United Arab Emirates,ARE,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,71,,1200,,,2
H5,2017,2017,2017,6,1,1,Import,422,Lebanon,LBN,788,Tunisia,TUN,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,86,,698,,,2
H5,2017,2017,2017,6,1,1,Import,422,Lebanon,LBN,792,Turkey,TUR,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,2824370,,590514,,,2
H5,2017,2017,2017,6,1,1,Import,422,Lebanon,LBN,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,42757,,,,42757,,56964140,,,0
H5,2017,2017,2017,6,1,1,Import,422,Lebanon,LBN,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,9153,,,,9153,,10372034,,,0
H5,2017,2017,2017,6,1,1,Import,422,Lebanon,LBN,100,Bulgaria,BGR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,45,,,,45,,3449,,,0
H5,2017,2017,2017,6,1,1,Import,422,Lebanon,LBN,124,Canada,CAN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,362,,,,362,,243071,,,0
H5,2017,2017,2017,6,1,1,Import,422,Lebanon,LBN,191,Croatia,HRV,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,170,,,,170,,44742,,,0
H5,2017,2017,2017,6,1,1,Import,422,Lebanon,LBN,208,Denmark,DNK,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,200,,,,200,,15854,,,0
H5,2017,2017,2017,6,1,1,Import,422,Lebanon,LBN,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,7224,,,,7224,,4943534,,,0
H5,2017,2017,2017,6,1,1,Import,422,Lebanon,LBN,276,Germany,DEU,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1313,,,,1313,,927278,,,0
H5,2017,2017,2017,6,1,1,Import,422,Lebanon,LBN,360,Indonesia,IDN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,26,,,,26,,1592,,,0
H5,2017,2017,2017,6,1,1,Import,422,Lebanon,LBN,372,Ireland,IRL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,834,,,,834,,22483717,,,0
H5,2017,2017,2017,6,1,1,Import,422,Lebanon,LBN,381,Italy,ITA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2,,,,2,,17611,,,0
