Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,426,Lesotho,LSO,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,87910,,37032,,,2
H5,2017,2017,2017,6,1,1,Import,426,Lesotho,LSO,710,South Africa,ZAF,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,87910,,37032,,,2
H5,2017,2017,2017,6,1,1,Import,426,Lesotho,LSO,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,16856,,,,16856,,1198030,,,6
H5,2017,2017,2017,6,1,2,Export,426,Lesotho,LSO,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,16,,,,16,,11,,,0
H5,2017,2017,2017,6,1,1,Import,426,Lesotho,LSO,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1058,,,,1058,,173658,,,0
H5,2017,2017,2017,6,1,1,Import,426,Lesotho,LSO,100,Bulgaria,BGR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,56,,,,56,,4911,,,0
H5,2017,2017,2017,6,1,1,Import,426,Lesotho,LSO,208,Denmark,DNK,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,3294,,,,3294,,535049,,,0
H5,2017,2017,2017,6,1,1,Import,426,Lesotho,LSO,276,Germany,DEU,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,577,,,,577,,130115,,,0
H5,2017,2017,2017,6,1,1,Import,426,Lesotho,LSO,360,Indonesia,IDN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,813,,,,813,,56268,,,0
H5,2017,2017,2017,6,1,1,Import,426,Lesotho,LSO,392,Japan,JPN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,79,,,,79,,20650,,,0
H5,2017,2017,2017,6,1,1,Import,426,Lesotho,LSO,699,India,IND,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1811,,,,1811,,255523,,,0
H5,2017,2017,2017,6,1,1,Import,426,Lesotho,LSO,710,South Africa,ZAF,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,9166,,,,9166,,21853,,,6
H5,2017,2017,2017,6,1,2,Export,426,Lesotho,LSO,752,Sweden,SWE,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,16,,,,16,,11,,,0
H5,2017,2017,2017,6,1,1,Import,426,Lesotho,LSO,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,11541,,,,11541,,26815,,,0
H5,2017,2017,2017,6,1,1,Import,426,Lesotho,LSO,710,South Africa,ZAF,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,11284,,,,11284,,25540,,,0
H5,2017,2017,2017,6,1,1,Import,426,Lesotho,LSO,826,United Kingdom,GBR,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,257,,,,257,,1274,,,0
H5,2017,2017,2017,6,1,1,Import,426,Lesotho,LSO,0,World,WLD,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,31,,,,31,,2703,,,0
H5,2017,2017,2017,6,1,1,Import,426,Lesotho,LSO,480,Mauritius,MUS,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,17,,,,17,,1954,,,0
H5,2017,2017,2017,6,1,1,Import,426,Lesotho,LSO,710,South Africa,ZAF,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,13,,,,13,,749,,,0
H5,2017,2017,2017,6,1,1,Import,426,Lesotho,LSO,0,World,WLD,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,731764,,,,731764,,4079339,,,0
H5,2017,2017,2017,6,1,2,Export,426,Lesotho,LSO,0,World,WLD,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,20,,,,20,,6591,,,0
H5,2017,2017,2017,6,1,1,Import,426,Lesotho,LSO,36,Australia,AUS,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,0,,,,0,,7,,,0
H5,2017,2017,2017,6,1,1,Import,426,Lesotho,LSO,40,Austria,AUT,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,3,,,,3,,218,,,0
H5,2017,2017,2017,6,1,1,Import,426,Lesotho,LSO,56,Belgium,BEL,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,3296,,,,3296,,47834,,,0
H5,2017,2017,2017,6,1,1,Import,426,Lesotho,LSO,372,Ireland,IRL,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,1989,,,,1989,,224966,,,0
H5,2017,2017,2017,6,1,1,Import,426,Lesotho,LSO,392,Japan,JPN,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,2728,,,,2728,,587662,,,0
H5,2017,2017,2017,6,1,1,Import,426,Lesotho,LSO,410,Rep. of Korea,KOR,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,143,,,,143,,9787,,,0
H5,2017,2017,2017,6,1,1,Import,426,Lesotho,LSO,458,Malaysia,MYS,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,11,,,,11,,3372,,,0
H5,2017,2017,2017,6,1,1,Import,426,Lesotho,LSO,480,Mauritius,MUS,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,380,,,,380,,2604,,,0
H5,2017,2017,2017,6,1,1,Import,426,Lesotho,LSO,490,"Other Asia, nes",,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,2184,,,,2184,,2095,,,0
H5,2017,2017,2017,6,1,1,Import,426,Lesotho,LSO,528,Netherlands,NLD,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,1277,,,,1277,,128026,,,0
H5,2017,2017,2017,6,1,1,Import,426,Lesotho,LSO,699,India,IND,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,113,,,,113,,2108,,,0
H5,2017,2017,2017,6,1,1,Import,426,Lesotho,LSO,710,South Africa,ZAF,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,96310,,,,96310,,2981509,,,0
H5,2017,2017,2017,6,1,2,Export,426,Lesotho,LSO,710,South Africa,ZAF,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,10,,,,10,,8,,,0
H5,2017,2017,2017,6,1,2,Export,426,Lesotho,LSO,716,Zimbabwe,ZWE,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,10,,,,10,,6583,,,0
H5,2017,2017,2017,6,1,1,Import,426,Lesotho,LSO,764,Thailand,THA,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,623000,,,,623000,,37141,,,0
H5,2017,2017,2017,6,1,1,Import,426,Lesotho,LSO,826,United Kingdom,GBR,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,9,,,,9,,464,,,0
H5,2017,2017,2017,6,1,1,Import,426,Lesotho,LSO,842,USA,USA,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,316,,,,316,,51539,,,0
