Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2007,2007,2007,6,1,0,M,434,Libya,LBY,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,12,m³,428171,-1,N/A,,28064,,69635,69635,,2
H2,2007,2007,2007,6,1,0,M,434,Libya,LBY,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,12,m³,10286,-1,N/A,,702,,1673,1673,,2
H2,2007,2007,2007,6,1,0,M,434,Libya,LBY,380,Italy,ITA,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,12,m³,5109,-1,N/A,,232,,831,831,,2
H2,2007,2007,2007,6,1,0,M,434,Libya,LBY,568,"Other Europe, nes",E19,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,12,m³,45883,-1,N/A,,2300,,7462,7462,,2
H2,2007,2007,2007,6,1,0,M,434,Libya,LBY,788,Tunisia,TUN,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,12,m³,25887,-1,N/A,,1766,,4210,4210,,2
H2,2007,2007,2007,6,1,0,M,434,Libya,LBY,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,12,m³,111939,-1,N/A,,7638,,18205,18205,,2
H2,2007,2007,2007,6,1,0,M,434,Libya,LBY,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,12,m³,229066,-1,N/A,,15426,,37254,37254,,2
H2,2008,2008,2008,6,1,0,M,434,Libya,LBY,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,28758,,85491,85491,,0
H2,2008,2008,2008,6,1,0,M,434,Libya,LBY,568,"Other Europe, nes",E19,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,10528,,38581,38581,,0
H2,2008,2008,2008,6,1,0,M,434,Libya,LBY,784,United Arab Emirates,ARE,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,924,,2258,2258,,0
H2,2008,2008,2008,6,1,0,M,434,Libya,LBY,818,Egypt,EGY,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,14390,,35152,35152,,0
H2,2008,2008,2008,6,1,0,M,434,Libya,LBY,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,2916,,9499,9499,,0
H2,2009,2009,2009,6,1,0,M,434,Libya,LBY,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,143201,,210486,210486,,0
H2,2009,2009,2009,6,1,0,M,434,Libya,LBY,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,346,,1111,1111,,0
H2,2009,2009,2009,6,1,0,M,434,Libya,LBY,568,"Other Europe, nes",E19,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,14940,,53027,53027,,0
H2,2009,2009,2009,6,1,0,M,434,Libya,LBY,788,Tunisia,TUN,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,108556,,119550,119550,,0
H2,2009,2009,2009,6,1,0,M,434,Libya,LBY,818,Egypt,EGY,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,6740,,16190,16190,,0
H2,2009,2009,2009,6,1,0,M,434,Libya,LBY,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,12619,,20609,20609,,0
H2,2010,2010,2010,6,1,0,M,434,Libya,LBY,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,564836,,1126009,1126009,,0
H2,2010,2010,2010,6,1,0,M,434,Libya,LBY,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,1052,,2493,2493,,0
H2,2010,2010,2010,6,1,0,M,434,Libya,LBY,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,841,,1919,1919,,0
H2,2010,2010,2010,6,1,0,M,434,Libya,LBY,380,Italy,ITA,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,659,,2082,2082,,0
H2,2010,2010,2010,6,1,0,M,434,Libya,LBY,784,United Arab Emirates,ARE,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,22680,,24274,24274,,0
H2,2010,2010,2010,6,1,0,M,434,Libya,LBY,788,Tunisia,TUN,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,3411,,8082,8082,,0
H2,2010,2010,2010,6,1,0,M,434,Libya,LBY,818,Egypt,EGY,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,518985,,1028149,1028149,,0
H2,2010,2010,2010,6,1,0,M,434,Libya,LBY,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,10390,,36934,36934,,0
H2,2010,2010,2010,6,1,0,M,434,Libya,LBY,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,6818,,22076,22076,,0
