Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,6,1,1,Import,446,"China, Macao SAR",MAC,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,2717648,,,,3056084,,426660,,,2
H5,2018,2018,2018,6,1,1,Import,446,"China, Macao SAR",MAC,156,China,CHN,,,,,,,,280440,Oxygen,12,Volume in cubic meters,2675377,,,,3055992,,420024,,,2
H5,2018,2018,2018,6,1,1,Import,446,"China, Macao SAR",MAC,276,Germany,DEU,,,,,,,,280440,Oxygen,12,Volume in cubic meters,6103,,,,16,,958,,,2
H5,2018,2018,2018,6,1,1,Import,446,"China, Macao SAR",MAC,842,USA,USA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,36168,,,,76,,5678,,,2
H5,2018,2018,2018,6,1,1,Import,446,"China, Macao SAR",MAC,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,9404,,,,9404,,13359046,,,0
H5,2018,2018,2018,6,1,1,Import,446,"China, Macao SAR",MAC,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1235,,,,1235,,5527550,,,0
H5,2018,2018,2018,6,1,1,Import,446,"China, Macao SAR",MAC,100,Bulgaria,BGR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,225,,,,225,,150571,,,0
H5,2018,2018,2018,6,1,1,Import,446,"China, Macao SAR",MAC,124,Canada,CAN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,30,,,,30,,173493,,,0
H5,2018,2018,2018,6,1,1,Import,446,"China, Macao SAR",MAC,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1399,,,,1399,,885538,,,0
H5,2018,2018,2018,6,1,1,Import,446,"China, Macao SAR",MAC,276,Germany,DEU,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,3774,,,,3774,,4773538,,,0
H5,2018,2018,2018,6,1,1,Import,446,"China, Macao SAR",MAC,372,Ireland,IRL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,26,,,,26,,1165694,,,0
H5,2018,2018,2018,6,1,1,Import,446,"China, Macao SAR",MAC,376,Israel,ISR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,4,,,,4,,5557,,,0
H5,2018,2018,2018,6,1,1,Import,446,"China, Macao SAR",MAC,528,Netherlands,NLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1,,,,1,,6958,,,0
H5,2018,2018,2018,6,1,1,Import,446,"China, Macao SAR",MAC,724,Spain,ESP,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,30,,,,30,,24831,,,0
H5,2018,2018,2018,6,1,1,Import,446,"China, Macao SAR",MAC,757,Switzerland,CHE,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2,,,,2,,17652,,,0
H5,2018,2018,2018,6,1,1,Import,446,"China, Macao SAR",MAC,764,Thailand,THA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,12,,,,12,,39930,,,0
H5,2018,2018,2018,6,1,1,Import,446,"China, Macao SAR",MAC,826,United Kingdom,GBR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,9,,,,9,,145952,,,0
H5,2018,2018,2018,6,1,1,Import,446,"China, Macao SAR",MAC,842,USA,USA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2657,,,,2657,,441774,,,0
H5,2018,2018,2018,6,1,1,Import,446,"China, Macao SAR",MAC,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,537667,,,,537667,,2182700,,,0
H5,2018,2018,2018,6,1,1,Import,446,"China, Macao SAR",MAC,36,Australia,AUS,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,826,,,,826,,11244,,,0
H5,2018,2018,2018,6,1,1,Import,446,"China, Macao SAR",MAC,124,Canada,CAN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,885,,,,885,,4984,,,0
