Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1996,1996,1996,6,1,0,M,466,Mali,MLI,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,2062,-1,N/A,,2062,,2824,2824,,0
H0,1996,1996,1996,6,1,0,M,466,Mali,MLI,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,2062,-1,N/A,,2062,,2824,2824,,0
H1,1998,1998,1998,6,1,0,X,466,Mali,MLI,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,273640,-1,N/A,,273640,,134431,,134431,0
H1,1998,1998,1998,6,1,0,X,466,Mali,MLI,324,Guinea,GIN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,50000,-1,N/A,,50000,,2711,,2711,0
H1,1998,1998,1998,6,1,0,X,466,Mali,MLI,854,Burkina Faso,BFA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,223640,-1,N/A,,223640,,131720,,131720,0
H1,1999,1999,1999,6,1,0,M,466,Mali,MLI,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,10,-1,N/A,,10,,365,365,,0
H1,1999,1999,1999,6,1,0,M,466,Mali,MLI,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,10,-1,N/A,,10,,365,365,,0
H1,1999,1999,1999,6,1,0,X,466,Mali,MLI,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,386398,-1,N/A,,386398,,261343,,261343,0
H1,1999,1999,1999,6,1,0,X,466,Mali,MLI,324,Guinea,GIN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,20398,-1,N/A,,20398,,12954,,12954,0
H1,1999,1999,1999,6,1,0,X,466,Mali,MLI,854,Burkina Faso,BFA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,366000,-1,N/A,,366000,,248389,,248389,0
H1,2000,2000,2000,6,1,0,M,466,Mali,MLI,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,66384,-1,N/A,,38985,,32607,32607,,2
