Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2003,2003,2003,6,1,0,M,478,Mauritania,MRT,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,804,-1,N/A,,13247,,404,404,,2
H1,2003,2003,2003,6,1,0,M,478,Mauritania,MRT,724,Spain,ESP,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,804,-1,N/A,,13247,,404,404,,2
H1,2007,2007,2007,6,1,0,M,478,Mauritania,MRT,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,626,-1,N/A,,35,,448,448,,2
H1,2007,2007,2007,6,1,0,M,478,Mauritania,MRT,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,626,-1,N/A,,35,,448,448,,2
H2,2010,2010,2010,6,1,0,M,478,Mauritania,MRT,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,6187,-1,N/A,,1789,,4723,4723,,2
H2,2010,2010,2010,6,1,0,M,478,Mauritania,MRT,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,320,-1,N/A,,9,,244,244,,2
H2,2010,2010,2010,6,1,0,M,478,Mauritania,MRT,699,India,IND,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,5868,-1,N/A,,1780,,4479,4479,,2
H3,2011,2011,2011,6,1,0,M,478,Mauritania,MRT,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,880,-1,N/A,,30,,711,711,,2
H3,2011,2011,2011,6,1,0,M,478,Mauritania,MRT,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,880,-1,N/A,,30,,711,711,,2
H4,2016,2016,2016,6,1,0,M,478,Mauritania,MRT,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,182504,-1,N/A,,31983,,140286,140286,,2
