Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1993,1993,1993,6,1,0,X,480,Mauritius,MUS,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,44,-1,N/A,,,,537,,537,0
H0,1993,1993,1993,6,1,0,X,480,Mauritius,MUS,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,44,-1,N/A,,,,537,,537,0
H0,1993,1993,1993,6,1,0,M,480,Mauritius,MUS,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,109,-1,N/A,,,,1942,1942,,0
H0,1993,1993,1993,6,1,0,M,480,Mauritius,MUS,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,101,-1,N/A,,,,1614,1614,,0
H0,1993,1993,1993,6,1,0,M,480,Mauritius,MUS,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,8,-1,N/A,,,,328,328,,0
H0,1994,1994,1994,6,1,0,M,480,Mauritius,MUS,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,532,-1,N/A,,,,970,970,,0
H0,1994,1994,1994,6,1,0,M,480,Mauritius,MUS,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,532,-1,N/A,,,,970,970,,0
H0,1995,1995,1995,6,1,0,M,480,Mauritius,MUS,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1117,-1,N/A,,,,2877,2877,,0
H0,1995,1995,1995,6,1,0,M,480,Mauritius,MUS,702,Singapore,SGP,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1000,-1,N/A,,,,800,800,,0
H0,1995,1995,1995,6,1,0,M,480,Mauritius,MUS,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,117,-1,N/A,,,,2077,2077,,0
