Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1996,1996,1996,6,1,0,M,496,Mongolia,MNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,179925,-1,N/A,,,,231985,231985,,0
H0,1996,1996,1996,6,1,0,M,496,Mongolia,MNG,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,179925,-1,N/A,,,,231985,231985,,0
H0,1996,1996,1996,6,1,0,X,496,Mongolia,MNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,389125,-1,N/A,,,,587909,,587909,0
H0,1996,1996,1996,6,1,0,X,496,Mongolia,MNG,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,24000,-1,N/A,,,,27927,,27927,0
H0,1996,1996,1996,6,1,0,X,496,Mongolia,MNG,643,Russian Federation,RUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,365125,-1,N/A,,,,559982,,559982,0
H1,1997,1997,1997,6,1,0,X,496,Mongolia,MNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,56519,-1,N/A,,,,176003,,176003,0
H1,1997,1997,1997,6,1,0,X,496,Mongolia,MNG,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,56519,-1,N/A,,,,176003,,176003,0
H1,1999,1999,1999,6,1,0,M,496,Mongolia,MNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,37480,-1,N/A,,,,47227,47227,,0
H1,1999,1999,1999,6,1,0,M,496,Mongolia,MNG,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,37480,-1,N/A,,,,47227,47227,,0
H1,1999,1999,1999,6,1,0,X,496,Mongolia,MNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,120000,-1,N/A,,,,169558,,169558,0
H1,1999,1999,1999,6,1,0,X,496,Mongolia,MNG,410,Rep. of Korea,KOR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,120000,-1,N/A,,,,169558,,169558,0
H2,2002,2002,2002,6,1,0,X,496,Mongolia,MNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,3480,-1,N/A,,9742,,6194,,6194,4
H2,2002,2002,2002,6,1,0,X,496,Mongolia,MNG,408,Dem. People's Rep. of Korea,PRK,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,3480,-1,N/A,,9742,,6194,,6194,4
H2,2003,2003,2003,6,1,0,X,496,Mongolia,MNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,69434,-1,N/A,,16168,,32335,,32335,2
H2,2003,2003,2003,6,1,0,X,496,Mongolia,MNG,408,Dem. People's Rep. of Korea,PRK,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,69434,-1,N/A,,16168,,32335,,32335,2
H2,2005,2005,2005,6,1,0,X,496,Mongolia,MNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,3,-1,N/A,,12,,10,,10,6
H2,2005,2005,2005,6,1,0,X,496,Mongolia,MNG,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,3,-1,N/A,,12,,10,,10,6
H4,2013,2013,2013,6,1,0,M,496,Mongolia,MNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,38,-1,N/A,,190,,228,228,,4
H4,2013,2013,2013,6,1,0,M,496,Mongolia,MNG,410,Rep. of Korea,KOR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,38,-1,N/A,,190,,228,228,,4
H4,2014,2014,2014,6,1,0,M,496,Mongolia,MNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,29,-1,N/A,,915,,1035,1035,,4
H4,2014,2014,2014,6,1,0,M,496,Mongolia,MNG,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1,-1,N/A,,205,,231,231,,4
H4,2014,2014,2014,6,1,0,M,496,Mongolia,MNG,410,Rep. of Korea,KOR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,28,-1,N/A,,711,,804,804,,4
H4,2015,2015,2015,6,1,0,M,496,Mongolia,MNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,201,-1,N/A,,201,,932,932,,0
H4,2015,2015,2015,6,1,0,M,496,Mongolia,MNG,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,200,-1,N/A,,200,,713,713,,0
H4,2015,2015,2015,6,1,0,M,496,Mongolia,MNG,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1,-1,N/A,,1,,220,220,,0
H4,2016,2016,2016,6,1,0,M,496,Mongolia,MNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,200,-1,N/A,,158,,576,576,,0
H4,2016,2016,2016,6,1,0,M,496,Mongolia,MNG,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,200,-1,N/A,,158,,576,576,,0
H5,2018,2018,2018,6,1,0,FM,496,Mongolia,MNG,0,World,W00,0,World,W00,C00,All CPCs,1000,Air,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,12,7,l,12,13,0,1217,1217.48,,0
H5,2018,2018,2018,6,1,0,FM,496,Mongolia,MNG,276,Germany,DEU,0,World,W00,C00,All CPCs,1000,Air,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,12,7,l,12,13,0,1217,1217.48,,0
H5,2018,2018,2018,6,1,0,M,496,Mongolia,MNG,0,World,W00,0,World,W00,C00,All CPCs,1000,Air,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,12,7,l,12,13,0,1217,1217.48,,0
H5,2018,2018,2018,6,1,0,M,496,Mongolia,MNG,276,Germany,DEU,0,World,W00,C00,All CPCs,1000,Air,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,12,7,l,12,13,0,1217,1217.48,,0
H5,2018,2018,2018,6,1,0,M,496,Mongolia,MNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,12,7,l,12,13,0,1217,1217.48,,0
H5,2018,2018,2018,6,1,0,M,496,Mongolia,MNG,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,12,7,l,12,13,0,1217,1217.48,,0
H5,2018,2018,2018,6,1,0,FM,496,Mongolia,MNG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,12,7,l,12,13,0,1217,1217.48,,0
H5,2018,2018,2018,6,1,0,FM,496,Mongolia,MNG,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,12,7,l,12,13,0,1217,1217.48,,0
H5,2019,2019,2019,6,1,0,FM,496,Mongolia,MNG,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,8,7,l,8,10,0,917,917.02,,0
H5,2019,2019,2019,6,1,0,FM,496,Mongolia,MNG,276,Germany,DEU,0,World,W00,C01,Clearance for home use,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,8,7,l,8,10,0,917,917.02,,0
H5,2019,2019,2019,6,1,0,M,496,Mongolia,MNG,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,8,7,l,8,10,0,917,917.02,,0
H5,2019,2019,2019,6,1,0,M,496,Mongolia,MNG,276,Germany,DEU,0,World,W00,C01,Clearance for home use,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,8,7,l,8,10,0,917,917.02,,0
H5,2019,2019,2019,6,1,0,M,496,Mongolia,MNG,276,Germany,DEU,0,World,W00,C01,Clearance for home use,9900,Other,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,8,7,l,8,10,0,917,917.02,,0
H5,2019,2019,2019,6,1,0,M,496,Mongolia,MNG,276,Germany,DEU,0,World,W00,C00,All CPCs,9900,Other,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,8,7,l,8,10,0,917,917.02,,0
