Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,2000,2000,2000,6,1,0,M,508,Mozambique,MOZ,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2576042,-1,N/A,,2419940,,1265336,1265336,,6
H0,2000,2000,2000,6,1,0,M,508,Mozambique,MOZ,620,Portugal,PRT,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,828,-1,N/A,,778,,407,407,,6
H0,2000,2000,2000,6,1,0,M,508,Mozambique,MOZ,710,South Africa,ZAF,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2562229,-1,N/A,,2406964,,1258551,1258551,,6
H0,2000,2000,2000,6,1,0,M,508,Mozambique,MOZ,748,Eswatini,SWZ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,12870,-1,N/A,,12090,,6322,6322,,6
H0,2000,2000,2000,6,1,0,M,508,Mozambique,MOZ,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,114,-1,N/A,,107,,56,56,,6
H1,2001,2001,2001,6,1,0,M,508,Mozambique,MOZ,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1506218,-1,N/A,,1411956,,818485,818485,,6
H1,2001,2001,2001,6,1,0,M,508,Mozambique,MOZ,586,Pakistan,PAK,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,103437,-1,N/A,,96964,,56208,56208,,6
H1,2001,2001,2001,6,1,0,M,508,Mozambique,MOZ,620,Portugal,PRT,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,49571,-1,N/A,,46469,,26937,26937,,6
H1,2001,2001,2001,6,1,0,M,508,Mozambique,MOZ,710,South Africa,ZAF,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1351864,-1,N/A,,1267261,,734608,734608,,6
H1,2001,2001,2001,6,1,0,M,508,Mozambique,MOZ,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1347,-1,N/A,,1262,,732,732,,6
H2,2002,2002,2002,6,1,0,M,508,Mozambique,MOZ,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1300360,-1,N/A,,1165035,,704365,704365,,6
H2,2002,2002,2002,6,1,0,M,508,Mozambique,MOZ,454,Malawi,MWI,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1018,-1,N/A,,912,,551,551,,6
H2,2002,2002,2002,6,1,0,M,508,Mozambique,MOZ,620,Portugal,PRT,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,17135,-1,N/A,,15352,,9282,9282,,6
H2,2002,2002,2002,6,1,0,M,508,Mozambique,MOZ,710,South Africa,ZAF,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1282207,-1,N/A,,1148771,,694532,694532,,6
H2,2003,2003,2003,6,1,0,M,508,Mozambique,MOZ,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,4400070,-1,N/A,,274294,,938601,938601,,6
H2,2003,2003,2003,6,1,0,M,508,Mozambique,MOZ,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,19283,-1,N/A,,22517,,14714,14714,,6
H2,2003,2003,2003,6,1,0,M,508,Mozambique,MOZ,454,Malawi,MWI,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,20018,-1,N/A,,24000,,8179,8179,,6
H2,2003,2003,2003,6,1,0,M,508,Mozambique,MOZ,620,Portugal,PRT,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,95690,-1,N/A,,103200,,68582,68582,,6
H2,2003,2003,2003,6,1,0,M,508,Mozambique,MOZ,710,South Africa,ZAF,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,3932843,-1,N/A,,15920,,769685,769685,,6
