Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,6,1,0,M,104,Myanmar,MMR,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,50821,-1,N/A,,41446,,49671,49671,,6
H4,2012,2012,2012,6,1,0,M,104,Myanmar,MMR,702,Singapore,SGP,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,50821,-1,N/A,,41446,,49671,49671,,6
H4,2015,2015,2015,6,1,0,M,104,Myanmar,MMR,392,Japan,JPN,0,World,W00,C00,All CPCs,2100,Sea,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,14,7,l,14,14,0,28,28.2,,0
H4,2015,2015,2015,6,1,0,M,104,Myanmar,MMR,392,Japan,JPN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,14,7,l,14,14,0,28,28.2,,0
H4,2015,2015,2015,6,1,0,M,104,Myanmar,MMR,0,World,W00,0,World,W00,C00,All CPCs,2100,Sea,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,10614,7,l,10614,10614,0,138347,138347.6,,0
H4,2015,2015,2015,6,1,0,M,104,Myanmar,MMR,702,Singapore,SGP,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,10600,7,l,10600,10600,0,138319,138319.4,,0
H4,2015,2015,2015,6,1,0,M,104,Myanmar,MMR,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,10614,7,l,10614,10614,0,138347,138347.6,,0
H4,2015,2015,2015,6,1,0,M,104,Myanmar,MMR,702,Singapore,SGP,0,World,W00,C00,All CPCs,2100,Sea,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,10600,7,l,10600,10600,0,138319,138319.4,,0
H4,2016,2016,2016,6,1,0,M,104,Myanmar,MMR,702,Singapore,SGP,0,World,W00,C00,All CPCs,2100,Sea,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,11500,7,l,11500,11500,0,147434,147434.6,,0
H4,2016,2016,2016,6,1,0,M,104,Myanmar,MMR,0,World,W00,0,World,W00,C00,All CPCs,2100,Sea,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,25243,7,l,25243,25243,0,283208,283208.15,,0
H4,2016,2016,2016,6,1,0,M,104,Myanmar,MMR,458,Malaysia,MYS,0,World,W00,C00,All CPCs,2100,Sea,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,13743,7,l,13743,13743,0,135773,135773.55,,0
H4,2016,2016,2016,6,1,0,M,104,Myanmar,MMR,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,25243,7,l,25243,25243,0,283208,283208.15,,0
H4,2016,2016,2016,6,1,0,M,104,Myanmar,MMR,702,Singapore,SGP,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,11500,7,l,11500,11500,0,147434,147434.6,,0
H4,2016,2016,2016,6,1,0,M,104,Myanmar,MMR,458,Malaysia,MYS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,13743,7,l,13743,13743,0,135773,135773.55,,0
H5,2017,2017,2017,6,1,0,M,104,Myanmar,MMR,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1,7,l,1,1,,83,83,,0
H5,2017,2017,2017,6,1,0,M,104,Myanmar,MMR,0,World,W00,0,World,W00,C00,All CPCs,1000,Air,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1,7,l,1,1,,83,83,,0
H5,2017,2017,2017,6,1,0,M,104,Myanmar,MMR,0,World,W00,899,"Areas, nes",_X ,C00,All CPCs,1000,Air,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1,7,l,1,1,,83,83,,0
H5,2017,2017,2017,6,1,0,M,104,Myanmar,MMR,0,World,W00,899,"Areas, nes",_X ,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1,7,l,1,1,,83,83,,0
H5,2017,2017,2017,6,1,0,M,104,Myanmar,MMR,372,Ireland,IRL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1,7,l,1,1,,83,83,,0
H5,2017,2017,2017,6,1,0,M,104,Myanmar,MMR,372,Ireland,IRL,0,World,W00,C00,All CPCs,1000,Air,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1,7,l,1,1,,83,83,,0
H5,2017,2017,2017,6,1,0,M,104,Myanmar,MMR,372,Ireland,IRL,899,"Areas, nes",_X ,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1,7,l,1,1,,83,83,,0
H5,2017,2017,2017,6,1,0,M,104,Myanmar,MMR,372,Ireland,IRL,899,"Areas, nes",_X ,C00,All CPCs,1000,Air,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1,7,l,1,1,,83,83,,0
H5,2018,2018,2018,6,1,0,M,104,Myanmar,MMR,826,United Kingdom,GBR,0,World,W00,C01,Clearance for home use,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,112000,7,l,112000,112000,0,404712,404712,0,0
