Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,6,1,0,M,516,Namibia,NAM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,251769,-1,N/A,,63810,,123668,123668,,2
H1,2000,2000,2000,6,1,0,M,516,Namibia,NAM,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,4774,-1,N/A,,5250,,2345,2345,,2
H1,2000,2000,2000,6,1,0,M,516,Namibia,NAM,710,South Africa,ZAF,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,246996,-1,N/A,,58560,,121323,121323,,2
H1,2000,2000,2000,6,1,0,X,516,Namibia,NAM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,6435,-1,N/A,,46,,2833,,2833,2
H1,2000,2000,2000,6,1,0,X,516,Namibia,NAM,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,6435,-1,N/A,,46,,2833,,2833,2
H1,2001,2001,2001,6,1,0,M,516,Namibia,NAM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,127231,-1,N/A,,130604,,69138,69138,,2
H1,2001,2001,2001,6,1,0,M,516,Namibia,NAM,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2419,-1,N/A,,2,,1314,1314,,2
H1,2001,2001,2001,6,1,0,M,516,Namibia,NAM,710,South Africa,ZAF,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,124813,-1,N/A,,130602,,67824,67824,,2
H1,2001,2001,2001,6,1,0,X,516,Namibia,NAM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,21533,-1,N/A,,16463,,9680,,9680,2
H1,2001,2001,2001,6,1,0,X,516,Namibia,NAM,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,21533,-1,N/A,,16463,,9680,,9680,2
H1,2002,2002,2002,6,1,0,M,516,Namibia,NAM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,35240,-1,N/A,,61158,,19089,19089,,2
H1,2002,2002,2002,6,1,0,M,516,Namibia,NAM,710,South Africa,ZAF,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,35240,-1,N/A,,61158,,19089,19089,,2
H1,2002,2002,2002,6,1,0,X,516,Namibia,NAM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,6262,-1,N/A,,1492,,3003,,3003,2
H1,2002,2002,2002,6,1,0,X,516,Namibia,NAM,8,Albania,ALB,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,37,-1,N/A,,16,,18,,18,2
H1,2002,2002,2002,6,1,0,X,516,Namibia,NAM,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,5018,-1,N/A,,821,,2406,,2406,2
H1,2002,2002,2002,6,1,0,X,516,Namibia,NAM,757,Switzerland,CHE,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1207,-1,N/A,,655,,579,,579,2
H1,2003,2003,2003,6,1,0,M,516,Namibia,NAM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,82673,-1,N/A,,31209,,41512,41512,,2
H1,2003,2003,2003,6,1,0,M,516,Namibia,NAM,710,South Africa,ZAF,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,82673,-1,N/A,,31209,,41512,41512,,2
H1,2003,2003,2003,6,1,0,X,516,Namibia,NAM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,56503,-1,N/A,,692,,26313,,26313,2
H1,2003,2003,2003,6,1,0,X,516,Namibia,NAM,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,56092,-1,N/A,,683,,26122,,26122,2
H1,2003,2003,2003,6,1,0,X,516,Namibia,NAM,710,South Africa,ZAF,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,411,-1,N/A,,9,,191,,191,2
H2,2004,2004,2004,6,1,0,M,516,Namibia,NAM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,75442,-1,N/A,,62037,,43325,43325,,6
H2,2004,2004,2004,6,1,0,M,516,Namibia,NAM,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,355,-1,N/A,,292,,204,204,,6
H2,2004,2004,2004,6,1,0,M,516,Namibia,NAM,710,South Africa,ZAF,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,75088,-1,N/A,,61746,,43121,43121,,6
H2,2004,2004,2004,6,1,0,X,516,Namibia,NAM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,5169,-1,N/A,,3794,,2674,,2674,6
H2,2004,2004,2004,6,1,0,X,516,Namibia,NAM,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,706,-1,N/A,,518,,365,,365,6
