Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1993,1993,1993,6,1,0,M,558,Nicaragua,NIC,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,2821,-1,N/A,,2821,,8156,8156,,0
H0,1993,1993,1993,6,1,0,M,558,Nicaragua,NIC,188,Costa Rica,CRI,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,128,-1,N/A,,128,,539,539,,0
H0,1993,1993,1993,6,1,0,M,558,Nicaragua,NIC,222,El Salvador,SLV,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1187,-1,N/A,,1187,,1409,1409,,0
H0,1993,1993,1993,6,1,0,M,558,Nicaragua,NIC,591,Panama,PAN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,30,-1,N/A,,30,,1239,1239,,0
H0,1993,1993,1993,6,1,0,M,558,Nicaragua,NIC,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1187,-1,N/A,,1187,,4840,4840,,0
H0,1993,1993,1993,6,1,0,M,558,Nicaragua,NIC,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,289,-1,N/A,,289,,129,129,,0
H0,1993,1993,1993,6,1,0,X,558,Nicaragua,NIC,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,17000,-1,N/A,,17000,,5080,,5080,0
H0,1993,1993,1993,6,1,0,X,558,Nicaragua,NIC,340,Honduras,HND,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,17000,-1,N/A,,17000,,5080,,5080,0
H0,1994,1994,1994,6,1,0,M,558,Nicaragua,NIC,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1085,-1,N/A,,1085,,621,621,,0
H0,1994,1994,1994,6,1,0,M,558,Nicaragua,NIC,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1085,-1,N/A,,1085,,621,621,,0
H0,1995,1995,1995,6,1,0,M,558,Nicaragua,NIC,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1335,-1,N/A,,1335,,4564,4564,,0
H0,1995,1995,1995,6,1,0,M,558,Nicaragua,NIC,380,Italy,ITA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,324,-1,N/A,,324,,1976,1976,,0
H0,1995,1995,1995,6,1,0,M,558,Nicaragua,NIC,484,Mexico,MEX,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,125,-1,N/A,,125,,577,577,,0
H0,1995,1995,1995,6,1,0,M,558,Nicaragua,NIC,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,886,-1,N/A,,886,,2011,2011,,0
