Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1989,1989,1989,6,1,0,M,512,Oman,OMN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,189354,-1,N/A,,189354,,175960,175960,,0
H0,1989,1989,1989,6,1,0,M,512,Oman,OMN,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,169554,-1,N/A,,169554,,155167,155167,,0
H0,1989,1989,1989,6,1,0,M,512,Oman,OMN,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,19800,-1,N/A,,19800,,20793,20793,,0
H0,1990,1990,1990,6,1,0,M,512,Oman,OMN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,345187,-1,N/A,,345187,,395502,395502,,0
H0,1990,1990,1990,6,1,0,M,512,Oman,OMN,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,334750,-1,N/A,,334750,,380621,380621,,0
H0,1990,1990,1990,6,1,0,M,512,Oman,OMN,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,10437,-1,N/A,,10437,,14881,14881,,0
H0,1991,1991,1991,6,1,0,M,512,Oman,OMN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,402705,-1,N/A,,402705,,444359,444359,,0
H0,1991,1991,1991,6,1,0,M,512,Oman,OMN,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,329625,-1,N/A,,329625,,342670,342670,,0
H0,1991,1991,1991,6,1,0,M,512,Oman,OMN,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,726,-1,N/A,,726,,3144,3144,,0
H0,1991,1991,1991,6,1,0,M,512,Oman,OMN,528,Netherlands,NLD,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,35730,-1,N/A,,35730,,42075,42075,,0
H0,1991,1991,1991,6,1,0,M,512,Oman,OMN,699,India,IND,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,15562,-1,N/A,,15562,,9253,9253,,0
H0,1991,1991,1991,6,1,0,M,512,Oman,OMN,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,21062,-1,N/A,,21062,,47217,47217,,0
H0,1992,1992,1992,6,1,0,M,512,Oman,OMN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,548283,-1,N/A,,548283,,620007,620007,,0
H0,1992,1992,1992,6,1,0,M,512,Oman,OMN,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,32914,-1,N/A,,32914,,37521,37521,,0
H0,1992,1992,1992,6,1,0,M,512,Oman,OMN,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,289250,-1,N/A,,289250,,321809,321809,,0
H0,1992,1992,1992,6,1,0,M,512,Oman,OMN,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,167,-1,N/A,,167,,1175,1175,,0
H0,1992,1992,1992,6,1,0,M,512,Oman,OMN,784,United Arab Emirates,ARE,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,40437,-1,N/A,,40437,,13539,13539,,0
H0,1992,1992,1992,6,1,0,M,512,Oman,OMN,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,166902,-1,N/A,,166902,,215828,215828,,0
H0,1992,1992,1992,6,1,0,M,512,Oman,OMN,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,18613,-1,N/A,,18613,,30135,30135,,0
H0,1993,1993,1993,6,1,0,M,512,Oman,OMN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,264538,-1,N/A,,264538,,250354,250354,,0
H0,1993,1993,1993,6,1,0,M,512,Oman,OMN,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,32566,-1,N/A,,32566,,23386,23386,,0
