Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2007,2007,2007,6,1,0,M,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,136519,-1,N/A,,113358,,97810,97810,,6
H3,2007,2007,2007,6,1,0,M,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,115554,-1,N/A,,95950,,82790,82790,,6
H3,2007,2007,2007,6,1,0,M,275,State of Palestine,PSE,804,Ukraine,UKR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,20964,-1,N/A,,17408,,15020,15020,,6
H3,2008,2008,2008,6,1,0,M,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,123330,-1,N/A,,101612,,95100,95100,,6
H3,2008,2008,2008,6,1,0,M,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,123330,-1,N/A,,101612,,95100,95100,,6
H3,2008,2008,2008,6,1,0,RX,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,287,-1,N/A,,244,,181,,,6
H3,2008,2008,2008,6,1,0,RX,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,287,-1,N/A,,244,,181,,,6
H3,2008,2008,2008,6,1,0,X,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2522,-1,N/A,,2147,,1588,,1588,6
H3,2008,2008,2008,6,1,0,X,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2522,-1,N/A,,2147,,1588,,1588,6
H3,2009,2009,2009,6,1,0,M,275,State of Palestine,PSE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,36779,-1,N/A,,29965,,31553,31553,,6
H3,2009,2009,2009,6,1,0,M,275,State of Palestine,PSE,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,36779,-1,N/A,,29965,,31553,31553,,6
