Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1995,1995,1995,6,1,0,M,591,Panama,PAN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,671,-1,N/A,,671,,3520,3520,,0
H0,1995,1995,1995,6,1,0,M,591,Panama,PAN,320,Guatemala,GTM,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,328,-1,N/A,,328,,1229,1229,,0
H0,1995,1995,1995,6,1,0,M,591,Panama,PAN,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,230,-1,N/A,,230,,1810,1810,,0
H0,1995,1995,1995,6,1,0,M,591,Panama,PAN,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,113,-1,N/A,,113,,481,481,,0
H0,1995,1995,1995,6,1,0,X,591,Panama,PAN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,3191427,-1,N/A,,3191427,,1298752,,1298752,0
H0,1995,1995,1995,6,1,0,X,591,Panama,PAN,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,117921,-1,N/A,,117921,,61199,,61199,0
H0,1995,1995,1995,6,1,0,X,591,Panama,PAN,214,Dominican Rep.,DOM,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,72710,-1,N/A,,72710,,36354,,36354,0
H0,1995,1995,1995,6,1,0,X,591,Panama,PAN,533,Aruba,ABW,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,796,-1,N/A,,796,,1199,,1199,0
H0,1995,1995,1995,6,1,0,X,591,Panama,PAN,724,Spain,ESP,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,3000000,-1,N/A,,3000000,,1200000,,1200000,0
H0,1996,1996,1996,6,1,0,M,591,Panama,PAN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,214,-1,N/A,,214,,924,924,,0
H0,1996,1996,1996,6,1,0,M,591,Panama,PAN,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,214,-1,N/A,,214,,924,924,,0
H0,1996,1996,1996,6,1,0,X,591,Panama,PAN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,2902562,-1,N/A,,2902562,,1517489,,1517489,0
H0,1996,1996,1996,6,1,0,X,591,Panama,PAN,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,571187,-1,N/A,,571187,,325310,,325310,0
H0,1996,1996,1996,6,1,0,X,591,Panama,PAN,214,Dominican Rep.,DOM,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,580875,-1,N/A,,580875,,282929,,282929,0
H0,1996,1996,1996,6,1,0,X,591,Panama,PAN,380,Italy,ITA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,25000,-1,N/A,,25000,,10750,,10750,0
H0,1996,1996,1996,6,1,0,X,591,Panama,PAN,724,Spain,ESP,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1725500,-1,N/A,,1725500,,898500,,898500,0
