Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1989,1989,1989,6,1,0,M,600,Paraguay,PRY,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,25,-1,N/A,,25,,207,207,,0
H0,1989,1989,1989,6,1,0,M,600,Paraguay,PRY,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,25,-1,N/A,,25,,207,207,,0
H0,1990,1990,1990,6,1,0,M,600,Paraguay,PRY,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,246006,-1,N/A,,246006,,100131,100131,,0
H0,1990,1990,1990,6,1,0,M,600,Paraguay,PRY,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,246000,-1,N/A,,246000,,100121,100121,,0
H0,1990,1990,1990,6,1,0,M,600,Paraguay,PRY,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,6,-1,N/A,,6,,10,10,,0
H0,1992,1992,1992,6,1,0,M,600,Paraguay,PRY,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,9875,-1,N/A,,9875,,12790,12790,,0
H0,1992,1992,1992,6,1,0,M,600,Paraguay,PRY,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,2000,-1,N/A,,2000,,5594,5594,,0
H0,1992,1992,1992,6,1,0,M,600,Paraguay,PRY,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,7875,-1,N/A,,7875,,7196,7196,,0
H0,1993,1993,1993,6,1,0,M,600,Paraguay,PRY,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,6431257,-1,N/A,,6431257,,3443330,3443330,,0
H0,1993,1993,1993,6,1,0,M,600,Paraguay,PRY,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,6420757,-1,N/A,,6420757,,3433976,3433976,,0
H0,1993,1993,1993,6,1,0,M,600,Paraguay,PRY,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,10500,-1,N/A,,10500,,9354,9354,,0
H0,1994,1994,1994,6,1,0,M,600,Paraguay,PRY,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,20589,-1,N/A,,20589,,20778,20778,,0
H0,1994,1994,1994,6,1,0,M,600,Paraguay,PRY,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,363,-1,N/A,,363,,3387,3387,,0
H0,1994,1994,1994,6,1,0,M,600,Paraguay,PRY,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,20226,-1,N/A,,20226,,17391,17391,,0
H0,1995,1995,1995,6,1,0,M,600,Paraguay,PRY,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,19229,-1,N/A,,19229,,23648,23648,,0
H0,1995,1995,1995,6,1,0,M,600,Paraguay,PRY,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,52,-1,N/A,,52,,738,738,,0
H0,1995,1995,1995,6,1,0,M,600,Paraguay,PRY,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,19039,-1,N/A,,19039,,14370,14370,,0
H0,1995,1995,1995,6,1,0,M,600,Paraguay,PRY,152,Chile,CHL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,97,-1,N/A,,97,,5582,5582,,0
H0,1995,1995,1995,6,1,0,M,600,Paraguay,PRY,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,41,-1,N/A,,41,,2958,2958,,0
H0,1996,1996,1996,6,1,0,M,600,Paraguay,PRY,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1620,-1,N/A,,1620,,9006,9006,,0
H0,1996,1996,1996,6,1,0,M,600,Paraguay,PRY,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,371,-1,N/A,,371,,3034,3034,,0
H0,1996,1996,1996,6,1,0,M,600,Paraguay,PRY,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,875,-1,N/A,,875,,2645,2645,,0
H0,1996,1996,1996,6,1,0,M,600,Paraguay,PRY,152,Chile,CHL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,10,-1,N/A,,10,,894,894,,0
H0,1996,1996,1996,6,1,0,M,600,Paraguay,PRY,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,347,-1,N/A,,347,,2000,2000,,0
H0,1996,1996,1996,6,1,0,M,600,Paraguay,PRY,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,17,-1,N/A,,17,,433,433,,0
H0,1997,1997,1997,6,1,0,X,600,Paraguay,PRY,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,24025506,-1,N/A,,24025506,,7413271,,7413271,0
H0,1997,1997,1997,6,1,0,X,600,Paraguay,PRY,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,2880000,-1,N/A,,2880000,,878399,,878399,0
H0,1997,1997,1997,6,1,0,X,600,Paraguay,PRY,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,19126968,-1,N/A,,19126968,,5910740,,5910740,0
H0,1997,1997,1997,6,1,0,X,600,Paraguay,PRY,757,Switzerland,CHE,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,2000000,-1,N/A,,2000000,,600000,,600000,0
H0,1997,1997,1997,6,1,0,X,600,Paraguay,PRY,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,17101,-1,N/A,,17101,,19350,,19350,0
H0,1997,1997,1997,6,1,0,X,600,Paraguay,PRY,858,Uruguay,URY,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1437,-1,N/A,,1437,,4782,,4782,0
H0,1997,1997,1997,6,1,0,M,600,Paraguay,PRY,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1007,-1,N/A,,1007,,8460,8460,,0
H0,1997,1997,1997,6,1,0,M,600,Paraguay,PRY,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,945,-1,N/A,,945,,8360,8360,,0
H0,1997,1997,1997,6,1,0,M,600,Paraguay,PRY,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,62,-1,N/A,,62,,100,100,,0
H1,1998,1998,1998,6,1,0,X,600,Paraguay,PRY,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,-1,N/A,0,-1,N/A,,,,8269,,8269,0
