Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1996,1996,1996,6,1,0,M,646,Rwanda,RWA,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,15000,-1,N/A,,15000,,18403,18403,,0
H0,1996,1996,1996,6,1,0,M,646,Rwanda,RWA,800,Uganda,UGA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,15000,-1,N/A,,15000,,18403,18403,,0
H0,1997,1997,1997,6,1,0,M,646,Rwanda,RWA,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,214,-1,N/A,,214,,1173,1173,,0
H0,1997,1997,1997,6,1,0,M,646,Rwanda,RWA,58,Belgium-Luxembourg,BEL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,214,-1,N/A,,214,,1173,1173,,0
H0,1998,1998,1998,6,1,0,M,646,Rwanda,RWA,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,14875,-1,N/A,,14875,,19792,19792,,0
H0,1998,1998,1998,6,1,0,M,646,Rwanda,RWA,58,Belgium-Luxembourg,BEL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,14875,-1,N/A,,14875,,19792,19792,,0
H0,1999,1999,1999,6,1,0,M,646,Rwanda,RWA,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,179,-1,N/A,,179,,258,258,,0
H0,1999,1999,1999,6,1,0,M,646,Rwanda,RWA,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,179,-1,N/A,,179,,258,258,,0
H1,2001,2001,2001,6,1,0,M,646,Rwanda,RWA,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,66340,-1,N/A,,23015,,36049,36049,,2
H1,2001,2001,2001,6,1,0,M,646,Rwanda,RWA,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,14414,-1,N/A,,2439,,7833,7833,,2
H1,2001,2001,2001,6,1,0,M,646,Rwanda,RWA,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,90,-1,N/A,,1,,49,49,,2
H1,2001,2001,2001,6,1,0,M,646,Rwanda,RWA,404,Kenya,KEN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,10925,-1,N/A,,6375,,5936,5936,,2
H1,2001,2001,2001,6,1,0,M,646,Rwanda,RWA,710,South Africa,ZAF,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,40911,-1,N/A,,14200,,22231,22231,,2
H1,2001,2001,2001,6,1,0,RX,646,Rwanda,RWA,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,8378,-1,N/A,,1630,,3766,,,2
H1,2001,2001,2001,6,1,0,RX,646,Rwanda,RWA,108,Burundi,BDI,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,8378,-1,N/A,,1630,,3766,,,2
H1,2001,2001,2001,6,1,0,X,646,Rwanda,RWA,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,8378,-1,N/A,,1630,,3766,,3766,2
H1,2001,2001,2001,6,1,0,X,646,Rwanda,RWA,108,Burundi,BDI,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,8378,-1,N/A,,1630,,3766,,3766,2
H1,2002,2002,2002,6,1,0,M,646,Rwanda,RWA,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,64301,-1,N/A,,16889,,34830,34830,,2
H1,2002,2002,2002,6,1,0,M,646,Rwanda,RWA,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,246,-1,N/A,,200,,133,133,,2
H1,2002,2002,2002,6,1,0,M,646,Rwanda,RWA,404,Kenya,KEN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,19414,-1,N/A,,3134,,10516,10516,,2
H1,2002,2002,2002,6,1,0,M,646,Rwanda,RWA,480,Mauritius,MUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,38800,-1,N/A,,13205,,21017,21017,,2
H1,2002,2002,2002,6,1,0,M,646,Rwanda,RWA,528,Netherlands,NLD,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,5842,-1,N/A,,350,,3164,3164,,2
H1,2003,2003,2003,6,1,0,M,646,Rwanda,RWA,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,112836,-1,N/A,,37327,,56657,56657,,2
H1,2003,2003,2003,6,1,0,M,646,Rwanda,RWA,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,37373,-1,N/A,,6421,,18765,18765,,2
H1,2003,2003,2003,6,1,0,M,646,Rwanda,RWA,480,Mauritius,MUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,42904,-1,N/A,,12890,,21543,21543,,2
H1,2003,2003,2003,6,1,0,M,646,Rwanda,RWA,710,South Africa,ZAF,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,32560,-1,N/A,,18016,,16349,16349,,2
H1,2004,2004,2004,6,1,0,M,646,Rwanda,RWA,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,23809,-1,N/A,,14550,,13673,13673,,2
H1,2004,2004,2004,6,1,0,M,646,Rwanda,RWA,404,Kenya,KEN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,23809,-1,N/A,,14550,,13673,13673,,2
H2,2005,2005,2005,6,1,0,M,646,Rwanda,RWA,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,177732,-1,N/A,,141657,,102067,102067,,2
H2,2005,2005,2005,6,1,0,M,646,Rwanda,RWA,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,12333,-1,N/A,,3768,,7083,7083,,2
H2,2005,2005,2005,6,1,0,M,646,Rwanda,RWA,108,Burundi,BDI,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,13502,-1,N/A,,1668,,7754,7754,,2
H2,2005,2005,2005,6,1,0,M,646,Rwanda,RWA,404,Kenya,KEN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,113048,-1,N/A,,118621,,64921,64921,,2
H2,2005,2005,2005,6,1,0,M,646,Rwanda,RWA,710,South Africa,ZAF,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,38848,-1,N/A,,17600,,22310,22310,,2
H2,2006,2006,2006,6,1,0,M,646,Rwanda,RWA,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,73136,-1,N/A,,35405,,42000,42000,,2
