Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1991,1991,1991,6,1,0,X,682,Saudi Arabia,SAU,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,50,-1,N/A,,50,,68,,68,0
H0,1991,1991,1991,6,1,0,X,682,Saudi Arabia,SAU,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,50,-1,N/A,,50,,68,,68,0
H0,1991,1991,1991,6,1,0,RX,682,Saudi Arabia,SAU,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,50,-1,N/A,,50,,68,,,0
H0,1991,1991,1991,6,1,0,RX,682,Saudi Arabia,SAU,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,50,-1,N/A,,50,,68,,,0
H0,1991,1991,1991,6,1,0,M,682,Saudi Arabia,SAU,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,620812,-1,N/A,,620812,,495541,495541,,0
H0,1991,1991,1991,6,1,0,M,682,Saudi Arabia,SAU,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,60542,-1,N/A,,60542,,78815,78815,,0
H0,1991,1991,1991,6,1,0,M,682,Saudi Arabia,SAU,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,9562,-1,N/A,,9562,,25825,25825,,0
H0,1991,1991,1991,6,1,0,M,682,Saudi Arabia,SAU,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,690916,-1,N/A,,690916,,600181,600181,,0
H0,1992,1992,1992,6,1,0,M,682,Saudi Arabia,SAU,757,Switzerland,CHE,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,69203,-1,N/A,,69203,,68080,68080,,0
H0,1992,1992,1992,6,1,0,M,682,Saudi Arabia,SAU,58,Belgium-Luxembourg,BEL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,671,-1,N/A,,671,,1032,1032,,0
H0,1992,1992,1992,6,1,0,M,682,Saudi Arabia,SAU,528,Netherlands,NLD,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,671,-1,N/A,,671,,1226,1226,,0
H0,1992,1992,1992,6,1,0,M,682,Saudi Arabia,SAU,490,"Other Asia, nes",S19,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,199,-1,N/A,,199,,543,543,,0
H0,1992,1992,1992,6,1,0,M,682,Saudi Arabia,SAU,392,Japan,JPN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,2437,-1,N/A,,2437,,19542,19542,,0
H0,1992,1992,1992,6,1,0,M,682,Saudi Arabia,SAU,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,16035,-1,N/A,,16035,,21951,21951,,0
H0,1992,1992,1992,6,1,0,M,682,Saudi Arabia,SAU,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,14500,-1,N/A,,14500,,18919,18919,,0
H0,1992,1992,1992,6,1,0,M,682,Saudi Arabia,SAU,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,895187,-1,N/A,,895187,,670125,670125,,0
H0,1992,1992,1992,6,1,0,M,682,Saudi Arabia,SAU,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,45402,-1,N/A,,45402,,71348,71348,,0
H0,1992,1992,1992,6,1,0,M,682,Saudi Arabia,SAU,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1044305,-1,N/A,,1044305,,872766,872766,,0
H0,1993,1993,1993,6,1,0,M,682,Saudi Arabia,SAU,752,Sweden,SWE,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,671,-1,N/A,,671,,982,982,,0
H0,1993,1993,1993,6,1,0,M,682,Saudi Arabia,SAU,757,Switzerland,CHE,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,24,-1,N/A,,24,,505,505,,0
H0,1993,1993,1993,6,1,0,M,682,Saudi Arabia,SAU,58,Belgium-Luxembourg,BEL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,671,-1,N/A,,671,,1006,1006,,0
H0,1993,1993,1993,6,1,0,M,682,Saudi Arabia,SAU,528,Netherlands,NLD,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,53839,-1,N/A,,53839,,30535,30535,,0
H0,1993,1993,1993,6,1,0,M,682,Saudi Arabia,SAU,699,India,IND,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,316,-1,N/A,,316,,910,910,,0
H0,1993,1993,1993,6,1,0,M,682,Saudi Arabia,SAU,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,3062,-1,N/A,,3062,,18124,18124,,0
