Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,1996,1996,1996,6,1,0,M,686,Senegal,SEN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,650710,-1,N/A,,650710,,884301,884301,,0
H1,1996,1996,1996,6,1,0,M,686,Senegal,SEN,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,247082,-1,N/A,,247082,,300406,300406,,0
H1,1996,1996,1996,6,1,0,M,686,Senegal,SEN,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,345562,-1,N/A,,345562,,508779,508779,,0
H1,1996,1996,1996,6,1,0,M,686,Senegal,SEN,384,Côte d'Ivoire,CIV,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,13812,-1,N/A,,13812,,18615,18615,,0
H1,1996,1996,1996,6,1,0,M,686,Senegal,SEN,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,44242,-1,N/A,,44242,,56211,56211,,0
H1,1996,1996,1996,6,1,0,M,686,Senegal,SEN,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,12,-1,N/A,,12,,290,290,,0
H1,1996,1996,1996,6,1,0,X,686,Senegal,SEN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,37,-1,N/A,,37,,44,,44,0
H1,1996,1996,1996,6,1,0,X,686,Senegal,SEN,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,37,-1,N/A,,37,,44,,44,0
H1,1997,1997,1997,6,1,0,M,686,Senegal,SEN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,601324,-1,N/A,,601324,,717827,717827,,0
H1,1997,1997,1997,6,1,0,M,686,Senegal,SEN,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,14750,-1,N/A,,14750,,16067,16067,,0
H1,1997,1997,1997,6,1,0,M,686,Senegal,SEN,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,361750,-1,N/A,,361750,,449322,449322,,0
H1,1997,1997,1997,6,1,0,M,686,Senegal,SEN,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,44,-1,N/A,,44,,643,643,,0
H1,1997,1997,1997,6,1,0,M,686,Senegal,SEN,699,India,IND,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,163003,-1,N/A,,163003,,173110,173110,,0
H1,1997,1997,1997,6,1,0,M,686,Senegal,SEN,711,So. African Customs Union,ZA1,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,54402,-1,N/A,,54402,,71736,71736,,0
H1,1997,1997,1997,6,1,0,M,686,Senegal,SEN,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,7375,-1,N/A,,7375,,6949,6949,,0
H1,1998,1998,1998,6,1,0,M,686,Senegal,SEN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,753427,-1,N/A,,753427,,783424,783424,,0
H1,1998,1998,1998,6,1,0,M,686,Senegal,SEN,68,Bolivia (Plurinational State of),BOL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,30824,-1,N/A,,30824,,27406,27406,,0
H1,1998,1998,1998,6,1,0,M,686,Senegal,SEN,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,103191,-1,N/A,,103191,,94715,94715,,0
H1,1998,1998,1998,6,1,0,M,686,Senegal,SEN,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,388062,-1,N/A,,388062,,440084,440084,,0
H1,1998,1998,1998,6,1,0,M,686,Senegal,SEN,528,Netherlands,NLD,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,111261,-1,N/A,,111261,,106383,106383,,0
H1,1998,1998,1998,6,1,0,M,686,Senegal,SEN,699,India,IND,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,58949,-1,N/A,,58949,,54346,54346,,0
H1,1998,1998,1998,6,1,0,M,686,Senegal,SEN,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,61140,-1,N/A,,61140,,60490,60490,,0
H1,1998,1998,1998,6,1,0,X,686,Senegal,SEN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,202341,-1,N/A,,202341,,188664,,188664,0
H1,1998,1998,1998,6,1,0,X,686,Senegal,SEN,132,Cabo Verde,CPV,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,12312,-1,N/A,,12312,,11356,,11356,0
H1,1998,1998,1998,6,1,0,X,686,Senegal,SEN,204,Benin,BEN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,7250,-1,N/A,,7250,,6656,,6656,0
H1,1998,1998,1998,6,1,0,X,686,Senegal,SEN,270,Gambia,GMB,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,38488,-1,N/A,,38488,,36081,,36081,0
H1,1998,1998,1998,6,1,0,X,686,Senegal,SEN,266,Gabon,GAB,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,4000,-1,N/A,,4000,,3413,,3413,0
H1,1998,1998,1998,6,1,0,X,686,Senegal,SEN,324,Guinea,GIN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,36214,-1,N/A,,36214,,34526,,34526,0
H1,1998,1998,1998,6,1,0,X,686,Senegal,SEN,478,Mauritania,MRT,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,22886,-1,N/A,,22886,,21877,,21877,0
H1,1998,1998,1998,6,1,0,X,686,Senegal,SEN,562,Niger,NER,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,988,-1,N/A,,988,,923,,923,0
H1,1998,1998,1998,6,1,0,X,686,Senegal,SEN,566,Nigeria,NGA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,62804,-1,N/A,,62804,,57402,,57402,0
H1,1998,1998,1998,6,1,0,X,686,Senegal,SEN,624,Guinea-Bissau,GNB,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1500,-1,N/A,,1500,,1376,,1376,0
H1,1998,1998,1998,6,1,0,X,686,Senegal,SEN,768,Togo,TGO,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,15875,-1,N/A,,15875,,14987,,14987,0
H1,1998,1998,1998,6,1,0,X,686,Senegal,SEN,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,24,-1,N/A,,24,,67,,67,0
H1,1999,1999,1999,6,1,0,M,686,Senegal,SEN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,590112,-1,N/A,,590112,,600984,600984,,0
H1,1999,1999,1999,6,1,0,M,686,Senegal,SEN,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,65585,-1,N/A,,65585,,47294,47294,,0
H1,1999,1999,1999,6,1,0,M,686,Senegal,SEN,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,422625,-1,N/A,,422625,,459554,459554,,0
H1,1999,1999,1999,6,1,0,M,686,Senegal,SEN,380,Italy,ITA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,12875,-1,N/A,,12875,,13542,13542,,0
H1,1999,1999,1999,6,1,0,M,686,Senegal,SEN,528,Netherlands,NLD,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,89027,-1,N/A,,89027,,80594,80594,,0
H1,1999,1999,1999,6,1,0,X,686,Senegal,SEN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,81249,-1,N/A,,81249,,67967,,67967,0
H1,1999,1999,1999,6,1,0,X,686,Senegal,SEN,132,Cabo Verde,CPV,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,4812,-1,N/A,,4812,,4126,,4126,0
H1,1999,1999,1999,6,1,0,X,686,Senegal,SEN,204,Benin,BEN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,5437,-1,N/A,,5437,,4569,,4569,0
H1,1999,1999,1999,6,1,0,X,686,Senegal,SEN,270,Gambia,GMB,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,9062,-1,N/A,,9062,,7379,,7379,0
