Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1994,1994,1994,6,1,0,M,690,Seychelles,SYC,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1748,-1,N/A,,1748,,11104,11104,,0
H0,1994,1994,1994,6,1,0,M,690,Seychelles,SYC,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1687,-1,N/A,,1687,,9740,9740,,0
H0,1994,1994,1994,6,1,0,M,690,Seychelles,SYC,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,61,-1,N/A,,61,,1364,1364,,0
H0,1995,1995,1995,6,1,0,M,690,Seychelles,SYC,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,5016,-1,N/A,,5016,,26797,26797,,0
H0,1995,1995,1995,6,1,0,M,690,Seychelles,SYC,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,3375,-1,N/A,,3375,,15496,15496,,0
H0,1995,1995,1995,6,1,0,M,690,Seychelles,SYC,380,Italy,ITA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,207,-1,N/A,,207,,1024,1024,,0
H0,1995,1995,1995,6,1,0,M,690,Seychelles,SYC,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1312,-1,N/A,,1312,,6548,6548,,0
H0,1995,1995,1995,6,1,0,M,690,Seychelles,SYC,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,109,-1,N/A,,109,,3644,3644,,0
H0,1995,1995,1995,6,1,0,M,690,Seychelles,SYC,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,13,-1,N/A,,13,,85,85,,0
H0,1996,1996,1996,6,1,0,M,690,Seychelles,SYC,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,2175,-1,N/A,,2175,,11365,11365,,0
H0,1996,1996,1996,6,1,0,M,690,Seychelles,SYC,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,2125,-1,N/A,,2125,,9688,9688,,0
H0,1996,1996,1996,6,1,0,M,690,Seychelles,SYC,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,50,-1,N/A,,50,,1677,1677,,0
H1,1997,1997,1997,6,1,0,M,690,Seychelles,SYC,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,10476,-1,N/A,,,,19932,19932,,0
H1,1997,1997,1997,6,1,0,M,690,Seychelles,SYC,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1750,-1,N/A,,,,7792,7792,,0
H1,1997,1997,1997,6,1,0,M,690,Seychelles,SYC,711,So. African Customs Union,ZA1,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,8437,-1,N/A,,,,10254,10254,,0
H1,1997,1997,1997,6,1,0,M,690,Seychelles,SYC,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,289,-1,N/A,,,,1886,1886,,0
H1,1998,1998,1998,6,1,0,M,690,Seychelles,SYC,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,699,-1,N/A,,,,2989,2989,,0
H1,1998,1998,1998,6,1,0,M,690,Seychelles,SYC,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,699,-1,N/A,,,,2989,2989,,0
H1,1999,1999,1999,6,1,0,M,690,Seychelles,SYC,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,5948,-1,N/A,,,,4149,4149,,0
H1,1999,1999,1999,6,1,0,M,690,Seychelles,SYC,480,Mauritius,MUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,5000,-1,N/A,,,,1680,1680,,0
H1,1999,1999,1999,6,1,0,M,690,Seychelles,SYC,711,So. African Customs Union,ZA1,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,640,-1,N/A,,,,1282,1282,,0
H1,1999,1999,1999,6,1,0,M,690,Seychelles,SYC,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,105,-1,N/A,,,,818,818,,0
H1,1999,1999,1999,6,1,0,M,690,Seychelles,SYC,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,203,-1,N/A,,,,369,369,,0
H0,2000,2000,2000,6,1,0,M,690,Seychelles,SYC,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,29400,-1,N/A,,2774,,14441,14441,,2
H0,2000,2000,2000,6,1,0,M,690,Seychelles,SYC,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,19657,-1,N/A,,1587,,9656,9656,,2
H0,2000,2000,2000,6,1,0,M,690,Seychelles,SYC,380,Italy,ITA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2704,-1,N/A,,73,,1328,1328,,2
