Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,2000,2000,2000,6,1,0,M,694,Sierra Leone,SLE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,176234,-1,N/A,,91128,,86565,86565,,2
H0,2000,2000,2000,6,1,0,M,694,Sierra Leone,SLE,528,Netherlands,NLD,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,165311,-1,N/A,,87900,,81200,81200,,2
H0,2000,2000,2000,6,1,0,M,694,Sierra Leone,SLE,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,10490,-1,N/A,,3008,,5153,5153,,2
H0,2000,2000,2000,6,1,0,M,694,Sierra Leone,SLE,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,432,-1,N/A,,220,,212,212,,2
H0,2002,2002,2002,6,1,0,M,694,Sierra Leone,SLE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,835646,-1,N/A,,,,607964,607964,,0
H0,2002,2002,2002,6,1,0,M,694,Sierra Leone,SLE,124,Canada,CAN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,47359,-1,N/A,,,,34858,34858,,0
H0,2002,2002,2002,6,1,0,M,694,Sierra Leone,SLE,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,225601,-1,N/A,,,,156664,156664,,0
H0,2002,2002,2002,6,1,0,M,694,Sierra Leone,SLE,218,Ecuador,ECU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1875,-1,N/A,,,,910,910,,0
H0,2002,2002,2002,6,1,0,M,694,Sierra Leone,SLE,528,Netherlands,NLD,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,48394,-1,N/A,,,,41010,41010,,0
H0,2002,2002,2002,6,1,0,M,694,Sierra Leone,SLE,710,South Africa,ZAF,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,315250,-1,N/A,,,,233968,233968,,0
H0,2002,2002,2002,6,1,0,M,694,Sierra Leone,SLE,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,27816,-1,N/A,,,,20225,20225,,0
H0,2002,2002,2002,6,1,0,M,694,Sierra Leone,SLE,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,75351,-1,N/A,,,,54464,54464,,0
H0,2002,2002,2002,6,1,0,M,694,Sierra Leone,SLE,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,94000,-1,N/A,,,,65865,65865,,0
H0,2002,2002,2002,6,1,0,X,694,Sierra Leone,SLE,839,Special Categories,XX ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2375,-1,N/A,,,,1784,,1784,0
H0,2002,2002,2002,6,1,0,X,694,Sierra Leone,SLE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2375,-1,N/A,,,,1784,,1784,0
H3,2014,2014,2014,6,1,0,M,694,Sierra Leone,SLE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,883865,-1,N/A,,406872,,821832,821832,,6
H3,2014,2014,2014,6,1,0,M,694,Sierra Leone,SLE,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,242025,-1,N/A,,888,,225038,225038,,2
H3,2014,2014,2014,6,1,0,M,694,Sierra Leone,SLE,288,Ghana,GHA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,8710,-1,N/A,,379,,8099,8099,,2
H3,2014,2014,2014,6,1,0,M,694,Sierra Leone,SLE,699,India,IND,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,490509,-1,N/A,,403300,,456083,456083,,6
H3,2014,2014,2014,6,1,0,M,694,Sierra Leone,SLE,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,47806,-1,N/A,,1372,,44451,44451,,2
H3,2014,2014,2014,6,1,0,M,694,Sierra Leone,SLE,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,94816,-1,N/A,,933,,88161,88161,,2
H3,2014,2014,2014,6,1,0,X,694,Sierra Leone,SLE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,121,-1,N/A,,94,,105,,105,6
H3,2014,2014,2014,6,1,0,X,694,Sierra Leone,SLE,699,India,IND,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,121,-1,N/A,,94,,105,,105,6
H3,2015,2015,2015,6,1,0,M,694,Sierra Leone,SLE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,636126,-1,N/A,,252376,,547210,547210,,2
H3,2015,2015,2015,6,1,0,M,694,Sierra Leone,SLE,344,"China, Hong Kong SAR",HKG,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,116137,-1,N/A,,83600,,99904,99904,,2
H3,2015,2015,2015,6,1,0,M,694,Sierra Leone,SLE,699,India,IND,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,164818,-1,N/A,,167280,,141780,141780,,2
H3,2015,2015,2015,6,1,0,M,694,Sierra Leone,SLE,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,208730,-1,N/A,,142,,179554,179554,,2
H3,2015,2015,2015,6,1,0,M,694,Sierra Leone,SLE,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,146441,-1,N/A,,1354,,125972,125972,,2
H3,2016,2016,2016,6,1,0,M,694,Sierra Leone,SLE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,7699456,-1,N/A,,6008716,,5918375,5918375,,2
H3,2016,2016,2016,6,1,0,M,694,Sierra Leone,SLE,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,154723,-1,N/A,,131786,,118931,118931,,2
H3,2016,2016,2016,6,1,0,M,694,Sierra Leone,SLE,124,Canada,CAN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,649737,-1,N/A,,515774,,499436,499436,,2
H3,2016,2016,2016,6,1,0,M,694,Sierra Leone,SLE,344,"China, Hong Kong SAR",HKG,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,197988,-1,N/A,,169360,,152188,152188,,2
H3,2016,2016,2016,6,1,0,M,694,Sierra Leone,SLE,348,Hungary,HUN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,11721,-1,N/A,,1240,,9010,9010,,2
H3,2016,2016,2016,6,1,0,M,694,Sierra Leone,SLE,360,Indonesia,IDN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,940,-1,N/A,,373,,723,723,,2
H3,2016,2016,2016,6,1,0,M,694,Sierra Leone,SLE,528,Netherlands,NLD,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,4859,-1,N/A,,149,,3735,3735,,2
H3,2016,2016,2016,6,1,0,M,694,Sierra Leone,SLE,586,Pakistan,PAK,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,141846,-1,N/A,,100830,,109033,109033,,2
H3,2016,2016,2016,6,1,0,M,694,Sierra Leone,SLE,699,India,IND,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2690096,-1,N/A,,2267997,,2067808,2067808,,2
H3,2016,2016,2016,6,1,0,M,694,Sierra Leone,SLE,724,Spain,ESP,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,105,-1,N/A,,1531,,81,81,,2
H3,2016,2016,2016,6,1,0,M,694,Sierra Leone,SLE,784,United Arab Emirates,ARE,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2642480,-1,N/A,,2024363,,2031207,2031207,,2
H3,2016,2016,2016,6,1,0,M,694,Sierra Leone,SLE,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1204906,-1,N/A,,795246,,926180,926180,,2
H3,2016,2016,2016,6,1,0,M,694,Sierra Leone,SLE,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,57,-1,N/A,,68,,44,44,,2
H3,2017,2017,2017,6,1,0,M,694,Sierra Leone,SLE,124,Canada,CAN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1128582,-1,N/A,0,867380,,847573,847573.058,,0
H3,2017,2017,2017,6,1,0,M,694,Sierra Leone,SLE,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,23696,-1,N/A,0,16340,,17796,17796.449,,0
H3,2017,2017,2017,6,1,0,M,694,Sierra Leone,SLE,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,68293,-1,N/A,0,52040,,51289,51289.056,,0
H3,2017,2017,2017,6,1,0,M,694,Sierra Leone,SLE,288,Ghana,GHA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,336,-1,N/A,0,384,,252,252.739,,0
H3,2017,2017,2017,6,1,0,M,694,Sierra Leone,SLE,344,"China, Hong Kong SAR",HKG,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,226167,-1,N/A,0,184400,,169853,169853.221,,0
H3,2017,2017,2017,6,1,0,M,694,Sierra Leone,SLE,360,Indonesia,IDN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,171839,-1,N/A,0,135488,,129052,129052.353,,0
H3,2017,2017,2017,6,1,0,M,694,Sierra Leone,SLE,528,Netherlands,NLD,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,34801,-1,N/A,0,33440,,26136,26136.348,,0
H3,2017,2017,2017,6,1,0,M,694,Sierra Leone,SLE,586,Pakistan,PAK,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1371125,-1,N/A,0,1117730,,1029725,1029725.104,,0
H3,2017,2017,2017,6,1,0,M,694,Sierra Leone,SLE,686,Senegal,SEN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,115126,-1,N/A,0,98040,,86460,86460.788,,0
