Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2012,2012,2012,6,1,0,M,90,Solomon Isds,SLB,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,18177,7,l,18177,18177,,34871,34871.003,,0
H2,2012,2012,2012,6,1,0,M,90,Solomon Isds,SLB,0,World,W00,0,World,W00,C00,All CPCs,9900,Other,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,18177,7,l,18177,18177,,34871,34871.003,,0
H2,2012,2012,2012,6,1,0,M,90,Solomon Isds,SLB,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,17,7,l,17,17,,198,198.368,,0
H2,2012,2012,2012,6,1,0,M,90,Solomon Isds,SLB,36,Australia,AUS,0,World,W00,C00,All CPCs,9900,Other,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,17,7,l,17,17,,198,198.368,,0
H2,2012,2012,2012,6,1,0,M,90,Solomon Isds,SLB,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,18160,7,l,18160,18160,,34672,34672.635,,0
H2,2012,2012,2012,6,1,0,M,90,Solomon Isds,SLB,554,New Zealand,NZL,0,World,W00,C00,All CPCs,9900,Other,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,18160,7,l,18160,18160,,34672,34672.635,,0
H2,2013,2013,2013,6,1,0,M,90,Solomon Isds,SLB,0,World,W00,0,World,W00,C00,All CPCs,9900,Other,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,16000,7,l,16000,16000,,21797,21797.163,,0
H2,2013,2013,2013,6,1,0,M,90,Solomon Isds,SLB,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,16000,7,l,16000,16000,,21797,21797.163,,0
H2,2013,2013,2013,6,1,0,M,90,Solomon Isds,SLB,598,Papua New Guinea,PNG,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,16000,7,l,16000,16000,,21797,21797.163,,0
H2,2013,2013,2013,6,1,0,M,90,Solomon Isds,SLB,598,Papua New Guinea,PNG,0,World,W00,C00,All CPCs,9900,Other,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,16000,7,l,16000,16000,,21797,21797.163,,0
H2,2014,2014,2014,6,1,0,M,90,Solomon Isds,SLB,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,20,7,l,20,20,,65,65.733,,0
H2,2014,2014,2014,6,1,0,M,90,Solomon Isds,SLB,702,Singapore,SGP,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,20,7,l,20,20,,65,65.733,,0
H4,2015,2015,2015,6,1,0,M,90,Solomon Isds,SLB,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,16000,-1,N/A,,20953,,22101,22101,,4
H4,2015,2015,2015,6,1,0,M,90,Solomon Isds,SLB,598,Papua New Guinea,PNG,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,16000,-1,N/A,,20953,,22101,22101,,4
H4,2016,2016,2016,6,1,0,M,90,Solomon Isds,SLB,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,96821,-1,N/A,,82567,,74424,74424,,6
H4,2016,2016,2016,6,1,0,M,90,Solomon Isds,SLB,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,154,-1,N/A,,131,,118,118,,6
