Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1990,1990,1990,6,1,0,M,144,Sri Lanka,LKA,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,6621629,-1,N/A,,,,3578524,3578524,,0
H0,1990,1990,1990,6,1,0,M,144,Sri Lanka,LKA,280,Fmr Fed. Rep. of Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,3,-1,N/A,,,,1135,1135,,0
H0,1990,1990,1990,6,1,0,M,144,Sri Lanka,LKA,458,Malaysia,MYS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,200675,-1,N/A,,,,113663,113663,,0
H0,1990,1990,1990,6,1,0,M,144,Sri Lanka,LKA,711,So. African Customs Union,ZA1,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,6360332,-1,N/A,,,,3418185,3418185,,0
H0,1990,1990,1990,6,1,0,M,144,Sri Lanka,LKA,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,60140,-1,N/A,,,,45009,45009,,0
H0,1990,1990,1990,6,1,0,M,144,Sri Lanka,LKA,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,479,-1,N/A,,,,532,532,,0
H0,1990,1990,1990,6,1,0,X,144,Sri Lanka,LKA,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,-1,N/A,0,-1,N/A,,,,14,,14,0
H0,1990,1990,1990,6,1,0,X,144,Sri Lanka,LKA,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,-1,N/A,0,-1,N/A,,,,14,,14,0
H0,1991,1991,1991,6,1,0,M,144,Sri Lanka,LKA,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,6690687,-1,N/A,,,,4093918,4093918,,0
H0,1991,1991,1991,6,1,0,M,144,Sri Lanka,LKA,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1505687,-1,N/A,,,,943903,943903,,0
H0,1991,1991,1991,6,1,0,M,144,Sri Lanka,LKA,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,40410,-1,N/A,,,,26663,26663,,0
H0,1991,1991,1991,6,1,0,M,144,Sri Lanka,LKA,458,Malaysia,MYS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,118019,-1,N/A,,,,81063,81063,,0
H0,1991,1991,1991,6,1,0,M,144,Sri Lanka,LKA,711,So. African Customs Union,ZA1,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,5012484,-1,N/A,,,,3025269,3025269,,0
H0,1991,1991,1991,6,1,0,M,144,Sri Lanka,LKA,757,Switzerland,CHE,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,960,-1,N/A,,,,590,590,,0
H0,1991,1991,1991,6,1,0,M,144,Sri Lanka,LKA,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,13125,-1,N/A,,,,16426,16426,,0
H0,1991,1991,1991,6,1,0,M,144,Sri Lanka,LKA,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2,-1,N/A,,,,4,4,,0
H0,1991,1991,1991,6,1,0,X,144,Sri Lanka,LKA,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,-1,N/A,0,-1,N/A,,,,3983,,3983,0
H0,1991,1991,1991,6,1,0,X,144,Sri Lanka,LKA,702,Singapore,SGP,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,-1,N/A,0,-1,N/A,,,,3983,,3983,0
H0,1992,1992,1992,6,1,0,M,144,Sri Lanka,LKA,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,8031899,-1,N/A,,,,5213736,5213736,,0
H0,1992,1992,1992,6,1,0,M,144,Sri Lanka,LKA,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,691500,-1,N/A,,,,402153,402153,,0
H0,1992,1992,1992,6,1,0,M,144,Sri Lanka,LKA,458,Malaysia,MYS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1181625,-1,N/A,,,,786609,786609,,0
