Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,6,1,0,M,729,Sudan,SDN,218,Ecuador,ECU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,-1,N/A,0,8,kg,1,,0,11125,11125,,6
H4,2012,2012,2012,6,1,0,M,729,Sudan,SDN,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,-1,N/A,0,8,kg,1,,0,2632,2632,,6
H4,2012,2012,2012,6,1,0,M,729,Sudan,SDN,218,Ecuador,ECU,0,World,W00,C00,All CPCs,2100,Sea,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,-1,N/A,0,8,kg,1,,0,11125,11125,,6
H4,2012,2012,2012,6,1,0,M,729,Sudan,SDN,276,Germany,DEU,0,World,W00,C00,All CPCs,2100,Sea,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,-1,N/A,0,8,kg,1,,0,2632,2632,,6
H4,2012,2012,2012,6,1,0,M,729,Sudan,SDN,0,World,W00,0,World,W00,C00,All CPCs,2100,Sea,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,-1,N/A,0,8,kg,71962,,0,71744,71744,,6
H4,2012,2012,2012,6,1,0,M,729,Sudan,SDN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,-1,N/A,0,8,kg,187896.1,,0,174801,174801,,6
H4,2012,2012,2012,6,1,0,M,729,Sudan,SDN,0,World,W00,0,World,W00,C00,All CPCs,3200,Road,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,104466,8,kg,115934.1,115934,0,103057,103057,,2
H4,2012,2012,2012,6,1,0,M,729,Sudan,SDN,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,606,8,kg,1000,1000,0,598,598,,2
H4,2012,2012,2012,6,1,0,M,729,Sudan,SDN,56,Belgium,BEL,0,World,W00,C00,All CPCs,3200,Road,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,606,8,kg,1000,1000,0,598,598,,2
H4,2012,2012,2012,6,1,0,M,729,Sudan,SDN,528,Netherlands,NLD,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,22506,8,kg,30334.1,30334,0,22203,22203,,2
H4,2012,2012,2012,6,1,0,M,729,Sudan,SDN,528,Netherlands,NLD,0,World,W00,C00,All CPCs,3200,Road,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,22506,8,kg,30334.1,30334,0,22203,22203,,2
H4,2012,2012,2012,6,1,0,M,729,Sudan,SDN,699,India,IND,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,94618,8,kg,100024,100024,0,93342,93342,,2
H4,2012,2012,2012,6,1,0,M,729,Sudan,SDN,699,India,IND,0,World,W00,C00,All CPCs,2100,Sea,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,26432,8,kg,32360,32360,0,26076,26076,,2
H4,2012,2012,2012,6,1,0,M,729,Sudan,SDN,699,India,IND,0,World,W00,C00,All CPCs,3200,Road,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,68185,8,kg,67664,67664,0,67266,67266,,2
H4,2012,2012,2012,6,1,0,M,729,Sudan,SDN,710,South Africa,ZAF,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,45515,8,kg,56536,56536,0,44901,44901,,2
H4,2012,2012,2012,6,1,0,M,729,Sudan,SDN,710,South Africa,ZAF,0,World,W00,C00,All CPCs,2100,Sea,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,32347,8,kg,39600,39600,0,31911,31911,,2
H4,2012,2012,2012,6,1,0,M,729,Sudan,SDN,710,South Africa,ZAF,0,World,W00,C00,All CPCs,3200,Road,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,13167,8,kg,16936,16936,0,12990,12990,,2
H4,2013,2013,2013,6,1,0,M,729,Sudan,SDN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,29020,-1,N/A,0,35280,0,27552,27552,0,2
H4,2013,2013,2013,6,1,0,M,729,Sudan,SDN,0,World,W00,0,World,W00,C00,All CPCs,2100,Sea,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,17906,-1,N/A,0,22052,0,17000,17000,0,2
H4,2013,2013,2013,6,1,0,M,729,Sudan,SDN,0,World,W00,0,World,W00,C00,All CPCs,3200,Road,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,11114,-1,N/A,0,13228,0,10552,10552,0,2
H4,2013,2013,2013,6,1,0,M,729,Sudan,SDN,699,India,IND,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,6722,-1,N/A,0,8852,0,6382,6382,0,2
H4,2013,2013,2013,6,1,0,M,729,Sudan,SDN,699,India,IND,0,World,W00,C00,All CPCs,2100,Sea,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,6722,-1,N/A,0,8852,0,6382,6382,0,2
H4,2013,2013,2013,6,1,0,M,729,Sudan,SDN,710,South Africa,ZAF,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,11184,-1,N/A,0,13200,0,10618,10618,0,2
H4,2013,2013,2013,6,1,0,M,729,Sudan,SDN,710,South Africa,ZAF,0,World,W00,C00,All CPCs,2100,Sea,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,11184,-1,N/A,0,13200,0,10618,10618,0,2
H4,2013,2013,2013,6,1,0,M,729,Sudan,SDN,682,Saudi Arabia,SAU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,142,-1,N/A,0,300,0,135,135,0,2
H4,2013,2013,2013,6,1,0,M,729,Sudan,SDN,682,Saudi Arabia,SAU,0,World,W00,C00,All CPCs,3200,Road,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,142,-1,N/A,0,300,0,135,135,0,2
