Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1994,1994,1994,6,1,0,M,740,Suriname,SUR,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1324,-1,N/A,,1324,,7650,7650,,0
H0,1994,1994,1994,6,1,0,M,740,Suriname,SUR,528,Netherlands,NLD,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,1125,-1,N/A,,1125,,2084,2084,,0
H0,1994,1994,1994,6,1,0,M,740,Suriname,SUR,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,199,-1,N/A,,199,,5566,5566,,0
H0,1994,1994,1994,6,1,0,X,740,Suriname,SUR,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,115389,-1,N/A,,115389,,66141,,66141,0
H0,1994,1994,1994,6,1,0,X,740,Suriname,SUR,528,Netherlands,NLD,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,115359,-1,N/A,,115359,,66093,,66093,0
H0,1994,1994,1994,6,1,0,X,740,Suriname,SUR,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,30,-1,N/A,,30,,48,,48,0
H0,1995,1995,1995,6,1,0,M,740,Suriname,SUR,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,5690,-1,N/A,,5690,,7295,7295,,0
H0,1995,1995,1995,6,1,0,M,740,Suriname,SUR,528,Netherlands,NLD,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,5562,-1,N/A,,5562,,7128,7128,,0
H0,1995,1995,1995,6,1,0,M,740,Suriname,SUR,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,128,-1,N/A,,128,,167,167,,0
H0,1995,1995,1995,6,1,0,X,740,Suriname,SUR,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,102190,-1,N/A,,102190,,31038,,31038,0
H0,1995,1995,1995,6,1,0,X,740,Suriname,SUR,528,Netherlands,NLD,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,102160,-1,N/A,,102160,,30870,,30870,0
H0,1995,1995,1995,6,1,0,X,740,Suriname,SUR,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,30,-1,N/A,,30,,168,,168,0
H0,1996,1996,1996,6,1,0,M,740,Suriname,SUR,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,37,-1,N/A,,37,,309,309,,0
H0,1996,1996,1996,6,1,0,M,740,Suriname,SUR,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,37,-1,N/A,,37,,309,309,,0
H0,1996,1996,1996,6,1,0,X,740,Suriname,SUR,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,2687,-1,N/A,,2687,,3456,,3456,0
H0,1996,1996,1996,6,1,0,X,740,Suriname,SUR,528,Netherlands,NLD,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,2687,-1,N/A,,2687,,3456,,3456,0
H0,1999,1999,1999,6,1,0,M,740,Suriname,SUR,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,-1,N/A,0,-1,N/A,,,,14000,14000,,0
H0,1999,1999,1999,6,1,0,M,740,Suriname,SUR,528,Netherlands,NLD,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,-1,N/A,0,-1,N/A,,,,14000,14000,,0
