Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2004,2004,2004,6,1,0,M,626,Timor-Leste,TLS,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1501,-1,N/A,,1234,,862,862,,6
H2,2004,2004,2004,6,1,0,M,626,Timor-Leste,TLS,704,Viet Nam,VNM,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1501,-1,N/A,,1234,,862,862,,6
H2,2004,2004,2004,6,1,0,M,626,Timor-Leste,TLS,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,28037,-1,N/A,,,,99166,99166,,2
H2,2004,2004,2004,6,1,0,M,626,Timor-Leste,TLS,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,25887,-1,N/A,,,,91561,91561,,2
H2,2004,2004,2004,6,1,0,M,626,Timor-Leste,TLS,360,Indonesia,IDN,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,11,-1,N/A,,,,40,40,,2
H2,2004,2004,2004,6,1,0,M,626,Timor-Leste,TLS,620,Portugal,PRT,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,2134,-1,N/A,,,,7547,7547,,2
H2,2004,2004,2004,6,1,0,M,626,Timor-Leste,TLS,702,Singapore,SGP,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,5,-1,N/A,,,,18,18,,2
H2,2004,2004,2004,6,1,0,RX,626,Timor-Leste,TLS,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,4,-1,N/A,,,,12,,,2
H2,2004,2004,2004,6,1,0,RX,626,Timor-Leste,TLS,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,4,-1,N/A,,,,12,,,2
H2,2004,2004,2004,6,1,0,X,626,Timor-Leste,TLS,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,4,-1,N/A,,,,12,,12,2
H2,2004,2004,2004,6,1,0,X,626,Timor-Leste,TLS,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,4,-1,N/A,,,,12,,12,2
H2,2005,2005,2005,6,1,0,M,626,Timor-Leste,TLS,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,11493,-1,N/A,,,,40649,40649,,2
H2,2005,2005,2005,6,1,0,M,626,Timor-Leste,TLS,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,9550,-1,N/A,,,,33778,33778,,2
H2,2005,2005,2005,6,1,0,M,626,Timor-Leste,TLS,360,Indonesia,IDN,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,27,-1,N/A,,,,94,94,,2
H2,2005,2005,2005,6,1,0,M,626,Timor-Leste,TLS,620,Portugal,PRT,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,1354,-1,N/A,,,,4790,4790,,2
H2,2005,2005,2005,6,1,0,M,626,Timor-Leste,TLS,702,Singapore,SGP,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,562,-1,N/A,,,,1987,1987,,2
H2,2013,2013,2013,6,1,0,M,626,Timor-Leste,TLS,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,2763,-1,N/A,,2556,,15131,15131,,2
H2,2013,2013,2013,6,1,0,M,626,Timor-Leste,TLS,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,1,-1,N/A,,1,,1243,1243,,2
H2,2013,2013,2013,6,1,0,M,626,Timor-Leste,TLS,620,Portugal,PRT,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,1681,-1,N/A,,1555,,10779,10779,,2
H2,2013,2013,2013,6,1,0,M,626,Timor-Leste,TLS,702,Singapore,SGP,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,1081,-1,N/A,,1000,,3109,3109,,2
H2,2017,2017,2017,6,1,0,M,626,Timor-Leste,TLS,0,World,W00,0,World,W00,C00,All CPCs,3200,Road,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,48,-1,N/A,0,52,,16892,16892,,0
H2,2017,2017,2017,6,1,0,M,626,Timor-Leste,TLS,0,World,W00,0,World,W00,C00,All CPCs,2100,Sea,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,32913,-1,N/A,0,,,143922,143922.85,,0
H2,2017,2017,2017,6,1,0,M,626,Timor-Leste,TLS,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,32961,-1,N/A,0,,,160814,160814.85,,0
H2,2017,2017,2017,6,1,0,M,626,Timor-Leste,TLS,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,91,-1,N/A,0,,,15394,15394.7,,0
H2,2017,2017,2017,6,1,0,M,626,Timor-Leste,TLS,251,France,FRA,0,World,W00,C00,All CPCs,2100,Sea,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,58,-1,N/A,0,,,740,740.7,,0
H2,2017,2017,2017,6,1,0,M,626,Timor-Leste,TLS,251,France,FRA,0,World,W00,C00,All CPCs,3200,Road,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,33,-1,N/A,0,36,,14654,14654,,0
H2,2017,2017,2017,6,1,0,M,626,Timor-Leste,TLS,380,Italy,ITA,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,939,-1,N/A,0,1015,,1037,1037.31,,0
H2,2017,2017,2017,6,1,0,M,626,Timor-Leste,TLS,380,Italy,ITA,0,World,W00,C00,All CPCs,2100,Sea,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,939,-1,N/A,0,1015,,1037,1037.31,,0
H2,2017,2017,2017,6,1,0,M,626,Timor-Leste,TLS,484,Mexico,MEX,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,1150,-1,N/A,0,1243,,15310,15310.65,,0
H2,2017,2017,2017,6,1,0,M,626,Timor-Leste,TLS,484,Mexico,MEX,0,World,W00,C00,All CPCs,2100,Sea,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,1149,-1,N/A,0,1242,,15206,15206.65,,0
H2,2017,2017,2017,6,1,0,M,626,Timor-Leste,TLS,484,Mexico,MEX,0,World,W00,C00,All CPCs,3200,Road,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,0,-1,N/A,0,1,,104,104,,0
H2,2017,2017,2017,6,1,0,M,626,Timor-Leste,TLS,608,Philippines,PHL,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,1429,-1,N/A,0,1545,,1817,1817,,0
H2,2017,2017,2017,6,1,0,M,626,Timor-Leste,TLS,608,Philippines,PHL,0,World,W00,C00,All CPCs,2100,Sea,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,1429,-1,N/A,0,1545,,1817,1817,,0
H2,2017,2017,2017,6,1,0,M,626,Timor-Leste,TLS,620,Portugal,PRT,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,7188,-1,N/A,0,7770,,34712,34712.4,,0
H2,2017,2017,2017,6,1,0,M,626,Timor-Leste,TLS,620,Portugal,PRT,0,World,W00,C00,All CPCs,2100,Sea,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,7188,-1,N/A,0,7770,,34712,34712.4,,0
H2,2017,2017,2017,6,1,0,M,626,Timor-Leste,TLS,702,Singapore,SGP,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,583,-1,N/A,0,630,,5358,5358.54,,0
H2,2017,2017,2017,6,1,0,M,626,Timor-Leste,TLS,702,Singapore,SGP,0,World,W00,C00,All CPCs,2100,Sea,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,574,-1,N/A,0,620,,3523,3523.54,,0
H2,2017,2017,2017,6,1,0,M,626,Timor-Leste,TLS,702,Singapore,SGP,0,World,W00,C00,All CPCs,3200,Road,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,9,-1,N/A,0,10,,1835,1835,,0
H2,2017,2017,2017,6,1,0,M,626,Timor-Leste,TLS,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,17564,-1,N/A,0,18989,,71199,71199,,0
H2,2017,2017,2017,6,1,0,M,626,Timor-Leste,TLS,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,2100,Sea,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,17560,-1,N/A,0,18984,,70900,70900,,0
H2,2017,2017,2017,6,1,0,M,626,Timor-Leste,TLS,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,3200,Road,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,4,-1,N/A,0,5,,299,299,,0
H2,2017,2017,2017,6,1,0,M,626,Timor-Leste,TLS,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,4014,-1,N/A,0,4340,,15985,15985.25,,0
H2,2017,2017,2017,6,1,0,M,626,Timor-Leste,TLS,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,2100,Sea,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,4014,-1,N/A,0,4340,,15985,15985.25,,0
H2,2017,2017,2017,6,1,0,X,626,Timor-Leste,TLS,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,200,-1,N/A,0,217,,8909,,8909.17,0
H2,2017,2017,2017,6,1,0,X,626,Timor-Leste,TLS,0,World,W00,0,World,W00,C00,All CPCs,2100,Sea,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,200,-1,N/A,0,217,,8909,,8909.17,0
H2,2017,2017,2017,6,1,0,X,626,Timor-Leste,TLS,702,Singapore,SGP,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,200,-1,N/A,0,217,,8909,,8909.17,0
H2,2017,2017,2017,6,1,0,X,626,Timor-Leste,TLS,702,Singapore,SGP,0,World,W00,C00,All CPCs,2100,Sea,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,200,-1,N/A,0,217,,8909,,8909.17,0
H2,2004,2004,2004,6,1,0,M,626,Timor-Leste,TLS,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,40501,,7791,7791,,4
