Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1994,1994,1994,6,1,0,M,780,Trinidad and Tobago,TTO,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,52,-1,N/A,,52,,202,202,,0
H0,1994,1994,1994,6,1,0,M,780,Trinidad and Tobago,TTO,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,52,-1,N/A,,52,,202,202,,0
H0,1994,1994,1994,6,1,0,X,780,Trinidad and Tobago,TTO,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,92432,-1,N/A,,92432,,105353,,105353,0
H0,1994,1994,1994,6,1,0,X,780,Trinidad and Tobago,TTO,28,Antigua and Barbuda,ATG,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,32824,-1,N/A,,32824,,26424,,26424,0
H0,1994,1994,1994,6,1,0,X,780,Trinidad and Tobago,TTO,52,Barbados,BRB,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,3000,-1,N/A,,3000,,3707,,3707,0
H0,1994,1994,1994,6,1,0,X,780,Trinidad and Tobago,TTO,212,Dominica,DMA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,597,-1,N/A,,597,,7403,,7403,0
H0,1994,1994,1994,6,1,0,X,780,Trinidad and Tobago,TTO,308,Grenada,GRD,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,16390,-1,N/A,,16390,,31712,,31712,0
H0,1994,1994,1994,6,1,0,X,780,Trinidad and Tobago,TTO,328,Guyana,GUY,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,36738,-1,N/A,,36738,,32238,,32238,0
H0,1994,1994,1994,6,1,0,X,780,Trinidad and Tobago,TTO,659,Saint Kitts and Nevis,KNA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,2000,-1,N/A,,2000,,2226,,2226,0
H0,1994,1994,1994,6,1,0,X,780,Trinidad and Tobago,TTO,662,Saint Lucia,LCA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,863,-1,N/A,,863,,1438,,1438,0
H0,1994,1994,1994,6,1,0,X,780,Trinidad and Tobago,TTO,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,20,-1,N/A,,20,,205,,205,0
H0,1995,1995,1995,6,1,0,X,780,Trinidad and Tobago,TTO,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,271454,-1,N/A,,271454,,284344,,284344,0
