Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,1997,1997,1997,6,1,0,M,798,Tuvalu,TUV,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,718,-1,N/A,,718,,945,945,,0
H1,1997,1997,1997,6,1,0,M,798,Tuvalu,TUV,242,Fiji,FJI,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,718,-1,N/A,,718,,945,945,,0
H1,1998,1998,1998,6,1,0,M,798,Tuvalu,TUV,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,24,-1,N/A,,24,,291,291,,0
H1,1998,1998,1998,6,1,0,M,798,Tuvalu,TUV,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,24,-1,N/A,,24,,291,291,,0
H1,1997,1997,1997,6,1,0,M,798,Tuvalu,TUV,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,836,-1,N/A,,773,,6199,6199,,0
H1,1997,1997,1997,6,1,0,M,798,Tuvalu,TUV,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,806,-1,N/A,,746,,5997,5997,,0
H1,1997,1997,1997,6,1,0,M,798,Tuvalu,TUV,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,29,-1,N/A,,27,,202,202,,0
H1,1998,1998,1998,6,1,0,M,798,Tuvalu,TUV,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,481,-1,N/A,,445,,3166,3166,,0
H1,1998,1998,1998,6,1,0,M,798,Tuvalu,TUV,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,219,-1,N/A,,203,,1601,1601,,0
H1,1998,1998,1998,6,1,0,M,798,Tuvalu,TUV,242,Fiji,FJI,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,262,-1,N/A,,242,,1565,1565,,0
H1,1999,1999,1999,6,1,0,M,798,Tuvalu,TUV,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",-1,N/A,0,-1,N/A,,,,9925,9925,,0
H1,1999,1999,1999,6,1,0,M,798,Tuvalu,TUV,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",-1,N/A,0,-1,N/A,,,,5508,5508,,0
H1,1999,1999,1999,6,1,0,M,798,Tuvalu,TUV,242,Fiji,FJI,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",-1,N/A,0,-1,N/A,,,,560,560,,0
H1,1999,1999,1999,6,1,0,M,798,Tuvalu,TUV,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",-1,N/A,0,-1,N/A,,,,3799,3799,,0
H1,1999,1999,1999,6,1,0,M,798,Tuvalu,TUV,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",-1,N/A,0,-1,N/A,,,,58,58,,0
H0,2001,2001,2001,6,1,0,M,798,Tuvalu,TUV,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,2066,-1,N/A,,,,5110,5110,,0
H0,2001,2001,2001,6,1,0,M,798,Tuvalu,TUV,242,Fiji,FJI,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,41,-1,N/A,,,,164,164,,0
H0,2001,2001,2001,6,1,0,M,798,Tuvalu,TUV,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,2025,-1,N/A,,,,4946,4946,,0
H0,2002,2002,2002,6,1,0,M,798,Tuvalu,TUV,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,2418,-1,N/A,,,,13388,13388,,0
H0,2002,2002,2002,6,1,0,M,798,Tuvalu,TUV,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,672,-1,N/A,,,,3497,3497,,0
H0,2002,2002,2002,6,1,0,M,798,Tuvalu,TUV,242,Fiji,FJI,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,19,-1,N/A,,,,103,103,,0
H0,2002,2002,2002,6,1,0,M,798,Tuvalu,TUV,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,1727,-1,N/A,,,,9788,9788,,0
H0,2004,2004,2004,6,1,0,M,798,Tuvalu,TUV,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,1788,-1,N/A,,,,7198,7198,,0
H0,2004,2004,2004,6,1,0,M,798,Tuvalu,TUV,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,180,-1,N/A,,,,1458,1458,,0
H0,2004,2004,2004,6,1,0,M,798,Tuvalu,TUV,242,Fiji,FJI,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,116,-1,N/A,,,,422,422,,0
H0,2004,2004,2004,6,1,0,M,798,Tuvalu,TUV,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,1493,-1,N/A,,,,5317,5317,,0
H0,2005,2005,2005,6,1,0,M,798,Tuvalu,TUV,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220890,"Spirits, liqueurs and other spirituous beverages; n.e.s. in heading no. 2208",7,l,237,-1,N/A,,,,1976,1976,,0
