Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1994,1994,1994,6,1,0,M,800,Uganda,UGA,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1535,-1,N/A,,,,3031,3031,,0
H0,1994,1994,1994,6,1,0,M,800,Uganda,UGA,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1500,-1,N/A,,,,2711,2711,,0
H0,1994,1994,1994,6,1,0,M,800,Uganda,UGA,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,35,-1,N/A,,,,320,320,,0
H0,1995,1995,1995,6,1,0,X,800,Uganda,UGA,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,3000,-1,N/A,,,,2641,,2641,0
H0,1995,1995,1995,6,1,0,X,800,Uganda,UGA,180,Dem. Rep. of the Congo,COD,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,3000,-1,N/A,,,,2641,,2641,0
H1,1996,1996,1996,6,1,0,X,800,Uganda,UGA,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,296,-1,N/A,,,,12600,,12600,0
H1,1996,1996,1996,6,1,0,X,800,Uganda,UGA,646,Rwanda,RWA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,296,-1,N/A,,,,12600,,12600,0
H1,1997,1997,1997,6,1,0,X,800,Uganda,UGA,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,14,-1,N/A,,,,121,,121,0
H1,1997,1997,1997,6,1,0,X,800,Uganda,UGA,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,14,-1,N/A,,,,121,,121,0
H1,1997,1997,1997,6,1,0,M,800,Uganda,UGA,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,249,-1,N/A,,,,319,319,,0
H1,1997,1997,1997,6,1,0,M,800,Uganda,UGA,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,249,-1,N/A,,,,319,319,,0
H1,1998,1998,1998,6,1,0,M,800,Uganda,UGA,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,15726,-1,N/A,,,,15957,15957,,0
H1,1998,1998,1998,6,1,0,M,800,Uganda,UGA,404,Kenya,KEN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,15625,-1,N/A,,,,13808,13808,,0
H1,1998,1998,1998,6,1,0,M,800,Uganda,UGA,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,101,-1,N/A,,,,2149,2149,,0
H1,1999,1999,1999,6,1,0,M,800,Uganda,UGA,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,70006,-1,N/A,,,,39097,39097,,0
H1,1999,1999,1999,6,1,0,M,800,Uganda,UGA,404,Kenya,KEN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,70003,-1,N/A,,,,38690,38690,,0
H1,1999,1999,1999,6,1,0,M,800,Uganda,UGA,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,3,-1,N/A,,,,407,407,,0
H1,2000,2000,2000,6,1,0,M,800,Uganda,UGA,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,266844,-1,N/A,,421562,,220426,220426,,4
H1,2000,2000,2000,6,1,0,M,800,Uganda,UGA,404,Kenya,KEN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,207296,-1,N/A,,212671,,111201,111201,,4
H1,2000,2000,2000,6,1,0,M,800,Uganda,UGA,710,South Africa,ZAF,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,59548,-1,N/A,,208892,,109225,109225,,4
H1,2001,2001,2001,6,1,0,M,800,Uganda,UGA,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,145375,-1,N/A,,135982,,78826,78826,,4
H1,2001,2001,2001,6,1,0,M,800,Uganda,UGA,404,Kenya,KEN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,145375,-1,N/A,,135982,,78826,78826,,4
H2,2002,2002,2002,6,1,0,M,800,Uganda,UGA,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,277287,-1,N/A,,282052,,170525,170525,,4
H2,2002,2002,2002,6,1,0,M,800,Uganda,UGA,404,Kenya,KEN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,277218,-1,N/A,,265352,,160428,160428,,4
