Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2006,2006,2006,6,1,0,M,548,Vanuatu,VUT,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,15827,-1,N/A,,30862,,21553,21553,,4
H1,2006,2006,2006,6,1,0,M,548,Vanuatu,VUT,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,227,-1,N/A,,14016,,9789,9789,,4
H1,2006,2006,2006,6,1,0,M,548,Vanuatu,VUT,598,Papua New Guinea,PNG,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,15600,-1,N/A,,16846,,11765,11765,,4
H2,2007,2007,2007,6,1,0,M,548,Vanuatu,VUT,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,20538,-1,N/A,,42819,,36946,36946,,4
H2,2007,2007,2007,6,1,0,M,548,Vanuatu,VUT,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,2300,-1,N/A,,4078,,3518,3518,,4
H2,2007,2007,2007,6,1,0,M,548,Vanuatu,VUT,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,18160,-1,N/A,,24859,,21450,21450,,4
H2,2007,2007,2007,6,1,0,M,548,Vanuatu,VUT,598,Papua New Guinea,PNG,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,78,-1,N/A,,13882,,11978,11978,,4
H2,2009,2009,2009,6,1,0,M,548,Vanuatu,VUT,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,30880,-1,N/A,,14197,,37190,37190,,0
H2,2009,2009,2009,6,1,0,M,548,Vanuatu,VUT,344,"China, Hong Kong SAR",HKG,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,120,-1,N/A,,196,,270,270,,0
H2,2009,2009,2009,6,1,0,M,548,Vanuatu,VUT,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,30760,-1,N/A,,14001,,36919,36919,,0
H2,2010,2010,2010,6,1,0,M,548,Vanuatu,VUT,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,39300,-1,N/A,,38715,,76208,76208,,0
H2,2010,2010,2010,6,1,0,M,548,Vanuatu,VUT,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1000,-1,N/A,,913,,9563,9563,,0
H2,2010,2010,2010,6,1,0,M,548,Vanuatu,VUT,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,20,-1,N/A,,2,,81,81,,0
H2,2010,2010,2010,6,1,0,M,548,Vanuatu,VUT,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,38280,-1,N/A,,37800,,66564,66564,,0
H2,2011,2011,2011,6,1,0,M,548,Vanuatu,VUT,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,18000,-1,N/A,,17000,,44419,44419,,0
