Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2004,2004,2004,6,1,0,M,887,Yemen,YEM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,15466,-1,N/A,,542538,,287174,287174,,0
H1,2004,2004,2004,6,1,0,M,887,Yemen,YEM,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1,-1,N/A,,3200,,3199,3199,,0
H1,2004,2004,2004,6,1,0,M,887,Yemen,YEM,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,347,-1,N/A,,13490,,9968,9968,,0
H1,2004,2004,2004,6,1,0,M,887,Yemen,YEM,699,India,IND,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,99,-1,N/A,,42584,,25775,25775,,0
H1,2004,2004,2004,6,1,0,M,887,Yemen,YEM,710,South Africa,ZAF,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,961,-1,N/A,,187760,,130107,130107,,0
H1,2004,2004,2004,6,1,0,M,887,Yemen,YEM,748,Eswatini,SWZ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,80,-1,N/A,,14560,,9748,9748,,0
H1,2004,2004,2004,6,1,0,M,887,Yemen,YEM,784,United Arab Emirates,ARE,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,315,-1,N/A,,28416,,24543,24543,,0
H1,2004,2004,2004,6,1,0,M,887,Yemen,YEM,818,Egypt,EGY,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,162,-1,N/A,,183150,,30735,30735,,0
H1,2004,2004,2004,6,1,0,M,887,Yemen,YEM,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,13500,-1,N/A,,68695,,42592,42592,,0
H1,2004,2004,2004,6,1,0,M,887,Yemen,YEM,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,1,-1,N/A,,683,,10507,10507,,0
H1,2005,2005,2005,6,1,0,M,887,Yemen,YEM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,254935,-1,N/A,,313869,,206860,206860,,0
H1,2005,2005,2005,6,1,0,M,887,Yemen,YEM,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,426,-1,N/A,,1704,,7856,7856,,0
H1,2005,2005,2005,6,1,0,M,887,Yemen,YEM,364,Iran,IRN,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,570,-1,N/A,,2280,,5080,5080,,0
H1,2005,2005,2005,6,1,0,M,887,Yemen,YEM,410,Rep. of Korea,KOR,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,12800,-1,N/A,,14400,,15117,15117,,0
H1,2005,2005,2005,6,1,0,M,887,Yemen,YEM,699,India,IND,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,23990,-1,N/A,,47640,,46903,46903,,0
H1,2005,2005,2005,6,1,0,M,887,Yemen,YEM,710,South Africa,ZAF,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,168000,-1,N/A,,178000,,88432,88432,,0
H1,2005,2005,2005,6,1,0,M,887,Yemen,YEM,818,Egypt,EGY,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,39000,-1,N/A,,50000,,23175,23175,,0
H1,2005,2005,2005,6,1,0,M,887,Yemen,YEM,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,10149,-1,N/A,,19845,,20298,20298,,0
H2,2007,2007,2007,6,1,0,M,887,Yemen,YEM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,15576,-1,N/A,,15576,,9400,9400,,0
H2,2007,2007,2007,6,1,0,M,887,Yemen,YEM,699,India,IND,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,15576,-1,N/A,,15576,,9400,9400,,0
H2,2008,2008,2008,6,1,0,M,887,Yemen,YEM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,89208,-1,N/A,,301655,,194865,194865,,0
H2,2008,2008,2008,6,1,0,M,887,Yemen,YEM,586,Pakistan,PAK,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,160,-1,N/A,,29760,,33488,33488,,0
