Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1995,1995,1995,6,1,0,M,716,Zimbabwe,ZWE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,173578,-1,N/A,,173578,,234073,234073,,0
H0,1995,1995,1995,6,1,0,M,716,Zimbabwe,ZWE,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,40,-1,N/A,,40,,941,941,,0
H0,1995,1995,1995,6,1,0,M,716,Zimbabwe,ZWE,711,So. African Customs Union,ZA1,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,173488,-1,N/A,,173488,,232544,232544,,0
H0,1995,1995,1995,6,1,0,M,716,Zimbabwe,ZWE,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,50,-1,N/A,,50,,588,588,,0
H0,1995,1995,1995,6,1,0,X,716,Zimbabwe,ZWE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,167429,-1,N/A,,167429,,1386131,,1386131,0
H0,1995,1995,1995,6,1,0,X,716,Zimbabwe,ZWE,711,So. African Customs Union,ZA1,0,World,W00,C00,All CPCs,0,All MOTs,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,8,kg,167429,-1,N/A,,167429,,1386131,,1386131,0
H1,2000,2000,2000,6,1,0,DX,716,Zimbabwe,ZWE,508,Mozambique,MOZ,0,World,W00,C00,All CPCs,2900,"Water, not else classified",220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,97183,-1,N/A,0,39555,0,43459,,43459.83,2
H1,2000,2000,2000,6,1,0,X,716,Zimbabwe,ZWE,508,Mozambique,MOZ,0,World,W00,C00,All CPCs,2900,"Water, not else classified",220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,97183,-1,N/A,0,39555,0,43459,,43459.83,2
H1,2000,2000,2000,6,1,0,DX,716,Zimbabwe,ZWE,710,South Africa,ZAF,0,World,W00,C00,All CPCs,2900,"Water, not else classified",220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,32946,-1,N/A,0,13185,0,14733,,14733.4,2
H1,2000,2000,2000,6,1,0,X,716,Zimbabwe,ZWE,710,South Africa,ZAF,0,World,W00,C00,All CPCs,2900,"Water, not else classified",220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,32946,-1,N/A,0,13185,0,14733,,14733.4,2
H1,2000,2000,2000,6,1,0,DX,716,Zimbabwe,ZWE,894,Zambia,ZMB,0,World,W00,C00,All CPCs,3200,Road,220710,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,7,l,100071,-1,N/A,0,117830,0,44751,,44751.25,2
